R,G,B,label
102.11512345679013,129.14802126200274,88.61780435528121,1
73.00469821673525,101.74380829903978,70.76898405349795,1
102.11498028120714,129.14934327846365,88.6172385116598,1
73.0038640260631,101.74652520576132,70.76124485596708,1
79.48421296296296,112.5163091563786,78.1008273319616,1
79.48486196844993,112.51637431412894,78.10047582304527,1
91.50304955418382,120.64668638545953,77.59489368998628,1
91.50320301783265,120.64565414951988,77.60032407407408,1
89.7064951989026,118.73083762002743,81.08676611796982,1
89.71054612482853,118.72916237997256,81.08084705075446,1
96.50776234567901,119.87672239368999,81.73667352537723,1
75.77959362139917,111.20504886831276,74.27450617283951,1
98.68505144032922,131.47100137174212,87.69568244170097,1
74.30616855281207,103.95310185185186,64.45772633744856,1
83.28600651577503,110.16292181069959,77.91832561728395,1
83.2914274691358,110.1588091563786,77.92324074074074,1
98.27649777091906,121.64101680384088,93.66893775720165,1
98.2797848079561,121.64072187928669,93.66562585733882,1
86.86204475308642,112.21216306584363,82.38978995198903,1
86.85971793552812,112.21393261316872,82.38674125514403,1
82.27516117969822,123.94105881344308,77.87496141975309,1
82.27901920438957,123.93826217421125,77.87797496570644,1
64.60836676954733,98.5847719478738,62.4941512345679,1
62.89226937585734,96.67092506858711,54.10354766803841,1
98.68258573388204,131.47209790809328,87.69728137860082,1
62.89337791495199,96.6700634430727,54.10395490397805,1
79.31410579561043,117.58912808641975,73.92108710562414,1
79.31230366941016,117.59027692043895,73.9172170781893,1
102.91903978052126,136.8608273319616,103.60842335390946,1
102.91960390946502,136.86026491769547,103.60092764060357,1
86.45201131687243,118.85109310699589,77.29879972565158,1
86.44992198216735,118.85270833333334,77.29857596021948,1
81.17120113168724,110.76402949245542,70.62414437585734,1
64.6088725994513,98.58466135116598,62.496286865569274,1
75.77706961591221,111.2072719478738,74.27283521947874,1
80.56922410836762,113.42946416323731,89.07710648148148,1
73.2425462962963,115.00740569272976,77.06598765432099,1
73.23931670096022,115.00716735253772,77.06504029492456,1
124.13446502057613,140.4671416323731,115.36379115226337,1
124.13709705075446,140.4681832990398,115.36411265432099,1
118.26051011659808,107.41129372427983,114.82425068587105,2
95.07258916323731,108.18792609739369,78.9053206447188,2
118.25950874485596,107.41211505486969,114.82176697530865,2
95.07405521262002,108.18730624142661,78.90768004115226,2
96.09916495198902,110.2793792866941,96.77543724279835,2
96.09942815500686,110.28104252400549,96.77381258573388,2
106.32897890946502,112.18792095336077,96.42071244855967,2
106.33234653635117,112.18567215363511,96.4256755829904,2
98.13035836762688,120.98958762002744,89.98510373799725,2
