label,hist_r1,hist_r2,hist_r3,hist_r4,hist_r5,hist_r6,hist_r7,hist_r8,hist_r9,hist_r10,hist_r11,hist_r12,hist_r13,hist_r14,hist_r15,hist_r16,hist_g1,hist_g2,hist_g3,hist_g4,hist_g5,hist_g6,hist_g7,hist_g8,hist_g9,hist_g10,hist_g11,hist_g12,hist_g13,hist_g14,hist_g15,hist_g16,hist_b1,hist_b2,hist_b3,hist_b4,hist_b5,hist_b6,hist_b7,hist_b8,hist_b9,hist_b10,hist_b11,hist_b12,hist_b13,hist_b14,hist_b15,hist_b16,dissimilarity 0,dissimilarity 45,dissimilarity 90,dissimilarity 135,correlation 0,correlation 45,correlation 90,correlation 135,homogeneity 0,homogeneity 45,homogeneity 90,homogeneity 135,contrast 0,contrast 45,contrast 90,contrast 135
1,10143.0,129571.0,182205.0,156859.0,96015.0,52925.0,23828.0,11431.0,5056.0,2569.0,1831.0,1817.0,1821.0,2160.0,3143.0,485026.0,32.0,111.0,4273.0,69227.0,163462.0,192002.0,131699.0,75749.0,24781.0,7023.0,2570.0,1973.0,1975.0,2202.0,2947.0,486374.0,343614.0,195199.0,88080.0,29437.0,7015.0,2621.0,1990.0,1681.0,1513.0,1433.0,1513.0,1536.0,1740.0,2136.0,3233.0,483659.0,9.31742118863604,9.332992737803762,9.408328165380444,10.377488391539824,0.9733519645228654,0.9740509638750381,0.9743866651479651,0.9670328055712637,0.4505260435688211,0.44742062983754516,0.44795306012564495,0.4408069807397448,452.73720757994136,440.4481341815243,435.13932558165993,559.5714309159799
1,10097.0,129515.0,182323.0,156938.0,95977.0,52825.0,23861.0,11476.0,5015.0,2582.0,1836.0,1802.0,1827.0,2176.0,3140.0,485010.0,31.0,108.0,4239.0,69443.0,163270.0,192060.0,131696.0,75724.0,24778.0,6985.0,2602.0,1985.0,1973.0,2192.0,2920.0,486394.0,343432.0,195352.0,88088.0,29463.0,6986.0,2644.0,1955.0,1714.0,1506.0,1444.0,1515.0,1520.0,1745.0,2122.0,3267.0,483647.0,9.407414298024705,10.375397313472975,9.316375538334515,9.332725846798796,0.9743879532520037,0.9670345580223646,0.9733543466874596,0.9740512882755308,0.44803936508736064,0.4409475521303111,0.45058186401574585,0.447456039298638,435.11256675307095,559.5350447756558,452.6911869081036,440.4374006717669
1,17770.0,304537.0,238733.0,56283.0,20656.0,10314.0,6562.0,4309.0,2823.0,1731.0,1328.0,1251.0,1525.0,1794.0,2517.0,494267.0,307.0,2962.0,11334.0,169770.0,334559.0,101593.0,26656.0,9633.0,3738.0,1856.0,1501.0,1420.0,1445.0,1783.0,2276.0,495567.0,424601.0,210017.0,18200.0,4026.0,1905.0,1412.0,1371.0,1185.0,1093.0,1141.0,1080.0,1243.0,1459.0,1724.0,2673.0,493270.0,6.4171360895826455,7.300692880144683,6.524735572786758,6.822805965922872,0.9806639241154074,0.9770393194512881,0.9820370156712896,0.9784326340839173,0.5065051239290265,0.490762936249182,0.5005385254031879,0.5007067754657897,383.1204246342079,454.525954070686,355.9101533163505,426.94420596050594
1,10151.0,129548.0,182279.0,156595.0,96192.0,52899.0,23878.0,11424.0,5048.0,2610.0,1814.0,1803.0,1851.0,2151.0,3136.0,485021.0,29.0,111.0,4274.0,69206.0,163586.0,192010.0,131529.0,75854.0,24712.0,7046.0,2577.0,1954.0,1990.0,2204.0,2954.0,486364.0,343414.0,195378.0,88008.0,29570.0,6954.0,2686.0,1938.0,1705.0,1504.0,1429.0,1517.0,1509.0,1743.0,2140.0,3242.0,483663.0,9.31711369509606,9.332482276367282,9.407891472874024,10.377003841851508,0.9733529988080464,0.9740509066291212,0.974387218074726,0.9670341394276034,0.4506110801771338,0.44756475348929303,0.4480518629845235,0.4408783877279657,452.7252084412713,440.45454042936467,435.1355590011299,559.555694711395
1,15585.0,150993.0,202638.0,172907.0,108914.0,60992.0,28496.0,13688.0,6084.0,2984.0,1937.0,1901.0,1867.0,2250.0,3308.0,391856.0,51.0,165.0,6800.0,84286.0,184984.0,211356.0,146306.0,86485.0,30667.0,9264.0,3227.0,2088.0,2021.0,2197.0,2959.0,393544.0,391886.0,214097.0,100999.0,37152.0,10262.0,3843.0,2219.0,1803.0,1657.0,1565.0,1592.0,1565.0,1869.0,2285.0,3549.0,390057.0,10.69835572782758,11.905162138448667,11.75419552110953,11.666976168105228,0.9698878303733892,0.9619480020201078,0.9626889334166494,0.9617416612378117,0.37625374333560613,0.3652063919362887,0.36926482878889466,0.36867232493170027,475.8074151596406,599.837848599559,589.5855150735656,603.0905296017567
1,15400.0,151106.0,202789.0,172864.0,108958.0,60956.0,28553.0,13670.0,6084.0,2902.0,1956.0,1873.0,1871.0,2272.0,3278.0,391868.0,52.0,145.0,6623.0,84399.0,185165.0,211402.0,146487.0,86390.0,30452.0,9251.0,3201.0,2083.0,2050.0,2198.0,2936.0,393566.0,390908.0,213921.0,101730.0,37452.0,10276.0,3968.0,2210.0,1823.0,1677.0,1545.0,1579.0,1627.0,1896.0,2268.0,3710.0,389810.0,11.74672006891319,11.661029421929964,10.690046511634721,11.896643219417571,0.9627233234063024,0.9617764313419372,0.9699273724400386,0.9619891432130299,0.3694024233048567,0.36808329900302605,0.3762672463961013,0.36495758950080104,589.0078501295677,602.5068510663524,475.1546080967726,599.1539365129402
1,15624.0,151112.0,202466.0,172913.0,109037.0,60898.0,28513.0,13769.0,6019.0,2947.0,1945.0,1848.0,1906.0,2244.0,3307.0,391852.0,52.0,164.0,6672.0,84224.0,185192.0,211306.0,146367.0,86548.0,30580.0,9233.0,3249.0,2063.0,2039.0,2207.0,2943.0,393561.0,391837.0,213466.0,101662.0,37126.0,10328.0,3832.0,2225.0,1833.0,1634.0,1567.0,1575.0,1588.0,1902.0,2313.0,3635.0,389877.0,10.691187769171414,11.898976140466198,11.75195521103209,11.664383265851347,0.9699244348734936,0.9619742352985784,0.9627012011902111,0.961759975367919,0.3762043867768535,0.36471823732868414,0.3688992625368891,0.3678664811977943,475.20480017256784,599.3929732523387,589.3609009478181,602.7703122194644
1,5321.0,161519.0,300457.0,140172.0,46021.0,23705.0,13682.0,7879.0,4017.0,1684.0,1072.0,1079.0,1244.0,1555.0,2383.0,454610.0,133.0,1227.0,9772.0,66894.0,235919.0,249906.0,103868.0,25553.0,7980.0,2129.0,1163.0,1140.0,1170.0,1458.0,1963.0,456125.0,409561.0,233496.0,45527.0,8667.0,2363.0,1367.0,1124.0,1000.0,990.0,900.0,1018.0,1032.0,1272.0,1502.0,2522.0,454059.0,8.05021274763563,8.490737413802256,7.660628768307616,8.178773786986438,0.9730332273062385,0.9713789036949348,0.9754758718918783,0.9702216275635613,0.4597710287924663,0.45183363643106056,0.4656704597344042,0.46083637767182273,476.1131584843303,504.6110128385124,433.00346425520655,525.0146435926458
1,4007.0,147708.0,282641.0,132830.0,42831.0,22160.0,12643.0,7257.0,3678.0,1621.0,1058.0,1151.0,1307.0,1549.0,2404.0,501555.0,78.0,964.0,8300.0,60805.0,220630.0,235253.0,98784.0,22806.0,6736.0,1830.0,1275.0,1148.0,1285.0,1504.0,2096.0,502906.0,383317.0,220305.0,39485.0,7180.0,2116.0,1338.0,1121.0,1044.0,996.0,1011.0,962.0,1129.0,1251.0,1510.0,2448.0,501187.0,7.014530577092507,8.047741532042595,7.205611541778376,7.314307776290064,0.9767274285992699,0.9714494333352499,0.9783820323428406,0.9762222684003212,0.5040740612223076,0.4871154185717015,0.4961191323824048,0.4966510091924652,421.74269767465614,517.0200816048359,391.80476571943154,430.5891675074539
1,4049.0,147316.0,282427.0,133266.0,42981.0,22159.0,12609.0,7283.0,3652.0,1638.0,1045.0,1151.0,1313.0,1521.0,2435.0,501555.0,76.0,990.0,8196.0,60609.0,220615.0,235450.0,98746.0,22980.0,6686.0,1847.0,1267.0,1160.0,1281.0,1502.0,2071.0,502924.0,383187.0,220037.0,39841.0,7234.0,2091.0,1338.0,1119.0,1059.0,994.0,1015.0,975.0,1111.0,1253.0,1509.0,2442.0,501195.0,7.204211024982539,7.311325334090511,7.012913867359656,8.045776557816104,0.9783790018230232,0.9762177427269494,0.976718972284456,0.9714408399897309,0.4964642996373531,0.49726313767988034,0.504593658351047,0.48801221216824314,391.82190783829367,430.62993100574124,421.85549612426587,517.1262325355813
1,1823.0,43659.0,231672.0,164064.0,71597.0,39801.0,33170.0,34187.0,27792.0,9921.0,1704.0,1057.0,1085.0,1342.0,2162.0,501364.0,71.0,521.0,1773.0,15239.0,106779.0,285287.0,130233.0,58308.0,43163.0,15415.0,1673.0,1042.0,1119.0,1245.0,1666.0,502866.0,521488.0,106248.0,19236.0,4863.0,2156.0,1335.0,1071.0,902.0,866.0,858.0,865.0,1001.0,1052.0,1377.0,2184.0,500898.0,9.725935400520571,10.375665068201636,9.944187769167925,10.398688520061116,0.966695985372219,0.9616880459698985,0.9650028033817604,0.9622344772752863,0.4689124831599349,0.4640244150273505,0.46819493025073516,0.4636591075737428,541.9161111113381,622.979712828825,569.5188062017495,614.0943498570598
1,3969.0,147755.0,282224.0,133205.0,42893.0,22177.0,12610.0,7233.0,3698.0,1601.0,1062.0,1160.0,1304.0,1530.0,2426.0,501553.0,77.0,1000.0,8240.0,60810.0,220729.0,235267.0,98635.0,22919.0,6671.0,1847.0,1256.0,1155.0,1291.0,1517.0,2094.0,502892.0,383604.0,220002.0,39557.0,7139.0,2083.0,1349.0,1121.0,1045.0,1006.0,1004.0,967.0,1140.0,1241.0,1531.0,2454.0,501157.0,7.013887166239832,8.047474641037732,7.205997416024651,7.314213630272152,0.9767266496310308,0.9714490518030504,0.9783826026440336,0.9762216892959408,0.5043601893789619,0.4873116857390084,0.496112214149058,0.49682228725081656,421.7606468563983,517.0316736571805,391.7978475454438,430.6035545736886
1,4039.0,147361.0,282354.0,133307.0,42957.0,22219.0,12542.0,7304.0,3693.0,1604.0,1049.0,1153.0,1294.0,1538.0,2431.0,501555.0,77.0,992.0,8186.0,60647.0,220438.0,235746.0,98603.0,22954.0,6699.0,1858.0,1252.0,1158.0,1283.0,1517.0,2065.0,502925.0,383333.0,220099.0,39704.0,7194.0,2081.0,1312.0,1141.0,1050.0,988.0,1002.0,994.0,1115.0,1225.0,1550.0,2421.0,501191.0,7.204136089582035,7.3115067163267575,7.013182601209791,8.046059859594601,0.9783783359113501,0.9762180124621194,0.9767193000933693,0.971441128958271,0.4965576380468184,0.49717713901809846,0.5045208808523947,0.48793452205795584,391.8350697676628,430.6261098866296,421.85054694252807,517.1222766753716
