label,R,G,B,dissimilarity 0,dissimilarity 45,dissimilarity 90,dissimilarity 135,correlation 0,correlation 45,correlation 90,correlation 135,contrast 0,contrast 45,contrast 90,contrast 135
1,118.86013460219479,143.3093758573388,121.54983624828532,8.095803617571354,8.499322839651786,8.145705426356885,8.392516341676515,0.9408756970372353,0.9362276062236343,0.9400801420655844,0.9369533103838008,282.1102428940625,304.72630457015975,286.0093729543548,301.2590362902912
1,95.07924554183813,123.15312414266118,107.7512920096022,8.94790267011243,9.273059728307661,9.282256675280612,9.353004380813791,0.9526653213909597,0.94829663933174,0.948807766994154,0.9489498860950496,256.2113548665066,280.11483223009446,277.16273040484134,276.57586787083926
1,95.07924554183813,123.15312414266118,107.7512920096022,8.94790267011243,9.273059728307661,9.282256675280612,9.353004380813791,0.9526653213909597,0.94829663933174,0.948807766994154,0.9489498860950496,256.2113548665066,280.11483223009446,277.16273040484134,276.57586787083926
1,97.6183067558299,127.1239566186557,115.57287294238684,7.61690869939763,7.713744282141896,7.599437553833473,7.864007372757083,0.9643417805391179,0.9626689626597308,0.9639469141981988,0.9629895255901421,247.95859517658988,259.89157142662145,250.8045762274093,257.65966560028136
1,100.84453703703704,137.06739711934156,127.02667181069958,5.5513781223084235,5.746418996421205,5.457333333333445,5.7146218266750015,0.966007310944492,0.9640175771114295,0.9675789413387844,0.9646232974325043,183.97675107666083,194.99203300121232,175.47528682170648,191.70952066722285
1,100.84453703703704,137.06739711934156,127.02667181069958,5.5513781223084235,5.746418996421205,5.457333333333445,5.7146218266750015,0.966007310944492,0.9640175771114295,0.9675789413387844,0.9646232974325043,183.97675107666083,194.99203300121232,175.47528682170648,191.70952066722285
1,143.81965020576132,156.5849785665295,141.29863940329219,5.452784668389737,5.916059755946647,5.61381050818288,5.777979505535459,0.9750597884010139,0.9733709267136683,0.9758699896614903,0.9733649146645348,176.05805081827634,188.295400837489,170.48275107666686,188.3373329556174
1,143.81965020576132,156.5849785665295,141.29863940329219,5.452784668389737,5.916059755946647,5.61381050818288,5.777979505535459,0.9750597884010139,0.9733709267136683,0.9758699896614903,0.9733649146645348,176.05805081827634,188.295400837489,170.48275107666686,188.3373329556174
1,117.62745970507545,138.91559585048012,130.0414317558299,7.2150327304052215,7.488345759456886,7.316684754522428,7.623205179586603,0.9613817972210665,0.9607407189252113,0.9641427155191015,0.9597382681855846,233.5793944875257,237.8150566258253,216.85064857882898,243.88751364687798
1,117.62745970507545,138.91559585048012,130.0414317558299,7.2150327304052215,7.488345759456886,7.316684754522428,7.623205179586603,0.9613817972210665,0.9607407189252113,0.9641427155191015,0.9597382681855846,233.5793944875257,237.8150566258253,216.85064857882898,243.88751364687798
1,115.28969650205761,141.34115226337448,134.20493912894375,6.90696813092184,7.092216456379051,6.677942291128549,6.92500880999496,0.9629647335231716,0.9598110259323692,0.9631869580851264,0.961950366099809,208.93801894918715,227.08961837179092,207.72907407408175,215.00110470420645
1,118.86013460219479,143.3093758573388,121.54983624828532,8.095803617571354,8.499322839651786,8.145705426356885,8.392516341676515,0.9408756970372353,0.9362276062236343,0.9400801420655844,0.9369533103838008,282.1102428940625,304.72630457015975,286.0093729543548,301.2590362902912
1,115.28969650205761,141.34115226337448,134.20493912894375,6.90696813092184,7.092216456379051,6.677942291128549,6.92500880999496,0.9629647335231716,0.9598110259323692,0.9631869580851264,0.961950366099809,208.93801894918715,227.08961837179092,207.72907407408175,215.00110470420645
1,135.84732338820302,156.6842524005487,145.82484310699587,7.475943152454867,7.417110045467194,6.86627734711468,7.482394694656735,0.9599059110628027,0.959341689105076,0.9639414789477909,0.9604008098818679,245.2043169681351,248.89804072637747,220.32899397072194,242.41480476363458
1,135.84732338820302,156.6842524005487,145.82484310699587,7.475943152454867,7.417110045467194,6.86627734711468,7.482394694656735,0.9599059110628027,0.959341689105076,0.9639414789477909,0.9604008098818679,245.2043169681351,248.89804072637747,220.32899397072194,242.41480476363458
1,119.50803240740741,143.07905521262003,125.24581447187929,6.189079242032792,6.337962611075681,5.819779500430756,6.116419756499339,0.966509772283263,0.9659715161040123,0.9692007443108231,0.965856355179507,190.0502093023275,193.32707449456322,174.70763307493885,193.98122261993566
1,119.50803240740741,143.07905521262003,125.24581447187929,6.189079242032792,6.337962611075681,5.819779500430756,6.116419756499339,0.966509772283263,0.9659715161040123,0.9692007443108231,0.965856355179507,190.0502093023275,193.32707449456322,174.70763307493885,193.98122261993566
1,131.33979423868314,149.9340715020576,139.72523405349793,6.347602067183707,6.501468332389687,6.0940913006031465,6.361373011705939,0.957397464073783,0.9564503155997388,0.959710953595383,0.9567228883413955,211.17966408269228,216.25487313610054,199.69122652886068,214.9014256643945
1,120.08552640603567,139.3259122085048,126.69230195473251,5.543830318690773,5.807611316870086,5.530763135228282,5.653162615221474,0.9737217188067758,0.9704038153501171,0.9721427444138026,0.971631955163286,144.76837295434947,163.30799135585158,153.43160034452936,156.53121847405419
1,126.35532578875171,145.39309927983538,137.56870284636489,6.0999336778641995,6.232507842623146,5.866161068045106,6.041977895552213,0.965862681551593,0.9654697137175277,0.9677832855606124,0.9654437005251923,190.35950473730472,192.87834088806548,179.6478440999242,193.02359264661123
1,126.35532578875171,145.39309927983538,137.56870284636489,6.0999336778641995,6.232507842623146,5.866161068045106,6.041977895552213,0.965862681551593,0.9654697137175277,0.9677832855606124,0.9654437005251923,190.35950473730472,192.87834088806548,179.6478440999242,193.02359264661123
