label,H,S,V,dissimilarity 0,dissimilarity 45,dissimilarity 90,dissimilarity 135,correlation 0,correlation 45,correlation 90,correlation 135,contrast 0,contrast 45,contrast 90,contrast 135
1,74.04195794753086,132.87396797839506,149.50818672839506,7.5763636363645,8.049805327550567,7.5980633255639765,7.720213944634971,0.956087934856392,0.9531313797200563,0.9608167032009111,0.9566944017527528,231.43734265736583,247.10577658317092,206.558381895899,228.3216659904962
1,75.946925154321,115.05320408950617,138.20651041666667,8.368012820512606,8.636186838739386,7.631099456099445,8.633106800663182,0.9488559361438891,0.9464916098461965,0.9596877567956815,0.9452504339588456,296.1848504273405,310.0497507100826,233.52435120434393,317.2472028027156
1,74.04292052469135,132.87259066358024,149.50975308641975,7.5752622377631535,8.04833845697842,7.5974242424249026,7.719741893200844,0.9560902571982659,0.9531366929096379,0.9608195636814314,0.9566966463907838,231.42191724944013,247.074371508422,206.54058275059964,228.30669688840453
1,75.94600887345679,115.08361689814815,138.2104938271605,8.369586247086051,8.636857854001029,7.632509712509718,8.633274554478538,0.9488544670251478,0.9464947805267602,0.9596854776082135,0.9452546279418432,296.1914704739602,310.02935496712576,233.53606837606125,317.2208303424313
1,66.85921489197531,160.31820987654322,133.1010551697531,8.442319347320465,8.75114306669744,8.518750971252276,8.891757825912187,0.9451940901287087,0.9422852513174423,0.9475655880440463,0.9394417061804384,264.99046620049864,278.13143316381513,253.6757400932711,291.83489708503976
1,66.8621836419753,160.32703125,133.10365162037036,8.44154234654334,8.750760744048415,8.5181468531481,8.890802019289394,0.9451984567308793,0.9422853613714064,0.947567270505346,0.939445740219236,264.9591763792085,278.12060719084553,253.65813131316233,291.8046545832446
1,64.29437692901234,174.63331790123456,119.03628086419754,9.726884226885538,9.942128834932005,9.936946386947717,10.178306700791534,0.9373856523868661,0.9354830978273297,0.9394080292858418,0.9332669223450762,302.8125679876088,310.3022377579389,293.1523076923435,320.9594816017667
1,64.29808449074073,174.63227044753086,119.03754050925926,9.727261072262387,9.942041056772972,9.936713286714534,10.178710480324076,0.9373873066140744,0.9354834687285796,0.9394088996127579,0.9332667758357517,302.80191142195093,310.29762842926687,293.1452680653037,320.9572637402766
1,64.20122685185186,163.14594907407408,122.03571759259259,7.678752913754417,8.034580693488673,7.581993006994765,8.109092646923287,0.9610602491254213,0.957333809708786,0.9643132367914742,0.9573036410792211,270.03674825180065,294.7857939827843,248.1751825952338,294.99768460730144
1,74.70375192901234,145.85416666666666,145.53790702160495,8.4272163947177,8.700181018072445,7.906561771563027,8.273029087733226,0.9483406782529823,0.9457687633589212,0.9539154269580186,0.9482350615819941,312.3603243978685,327.4657236042055,278.63024087028145,312.5743227428058
1,74.7074324845679,145.8516724537037,145.53766010802468,8.427105672107004,8.699966449238756,7.906113053614294,8.27297837146342,0.9483446650204276,0.9457762105599751,0.9539204874091819,0.9482407469945705,312.3340986791462,327.4180464093629,278.59722027976073,312.53736228588974
1,77.43149305555555,118.49622299382716,158.94766203703705,6.702443667443506,7.501299116757594,7.164679487179316,7.581735120627611,0.9535555929143553,0.9393490194124114,0.9434662015147498,0.9387338386114957,231.40623543122604,302.53772120099853,282.0053554778396,305.606562685345
1,69.81366898148148,149.89417052469136,134.22126157407408,9.561726884228266,10.032608610844392,9.20632478632617,9.496309416062868,0.9421489857979363,0.9355295655837131,0.9429334481559181,0.941136888097138,354.35392968148295,394.03519904193956,349.59181041186434,359.7667753816194
1,69.34121720679012,125.50430941358024,159.88791666666665,8.009949494950861,8.531065665867668,8.191250971252174,8.477019677914466,0.9585300431221636,0.9544333185127813,0.9583095737115349,0.9541707235631235,281.73341491845935,308.6658656097584,282.90569153072653,310.44055077876266
1,69.81335069444444,149.90466435185186,134.2217650462963,9.561212121213378,10.032304313225774,9.206204351205631,9.49599926656684,0.9421478145291023,0.9355292989973569,0.9429323107342859,0.9411406932320586,354.3598096348595,394.0352380544555,349.59725330230594,359.74210971887817
1,76.07396219135802,143.72037037037038,149.79855902777777,8.219681429682465,8.40118910146539,8.133766511267458,8.578395649326055,0.9505951875172163,0.95079969583277,0.9557755778802032,0.9473409642729668,288.2224592074937,286.8199884523535,257.87335858588443,306.9832012110114
1,76.06887152777777,143.7216435185185,149.79934220679013,8.220367132868112,8.401095471429066,8.133313908314856,8.578863799508605,0.9505938258459843,0.9507964074719188,0.955771215226924,0.94733570794434,288.21843628596935,286.8284931806752,257.88948717951354,307.0024499860226
1,75.62010223765432,135.8887114197531,156.2979263117284,7.014992229992605,7.348791392279777,6.567909867910272,6.944202350115039,0.9561269715979581,0.9545684745669385,0.9623736140687057,0.9545650702881068,214.320990676,221.99313769860674,183.95425796426917,222.01126096255229
1,75.61885030864198,135.88437692901235,156.29577932098766,7.014582362082664,7.348292032085107,6.568234265734711,6.943449408571433,0.9561237479170116,0.9545672976559354,0.9623697570606607,0.95456268296643,214.33446581197109,221.99648887366638,183.9715015540131,222.0205264349192
1,81.18132716049382,116.68995370370371,153.86913580246915,6.891833721833455,6.984531537718357,6.674448329447936,7.3999192440945,0.9584435030794956,0.958715569671004,0.965631365520315,0.9554683390976209,245.59201243199612,244.1031607940137,202.88832167830526,263.3044400143928
