H,S,V,label
57.67736673589477,114.01713936483212,119.650215256144,1
24.71044419633393,111.64737623132693,62.23935865002756,1
58.06787599515403,114.0759994807892,120.40560531325718,1
24.37207767429371,111.13779555379679,61.71462328815524,1
28.4557881278014,104.53313555913114,62.186416551737345,1
28.55028636555185,104.70891396582768,62.342800635942226,1
31.79829528401929,144.2893815402469,77.4394516285075,1
35.19297281328746,143.71019475238424,85.6878453656418,1
37.53763394973921,101.4845045045045,79.57166192508298,1
31.548081739369753,143.864097977157,79.98218522086142,1
31.261514030675148,144.29848005128963,82.08997386201115,1
27.89215611861443,151.69077352383079,52.38973248502437,1
22.072971520040475,131.16928958967355,99.93407430720048,1
33.666570005424866,145.68368496325886,86.36785520540514,1
28.76446322822291,138.38800105492257,66.63140579088558,1
28.6694709137068,138.52212806653472,66.39717035667572,1
33.651734400656814,157.96732977117432,56.07715252396843,1
34.35396472270777,158.48303174161768,57.25837901901584,1
42.91258194266153,143.8877244330338,56.01033290543432,1
43.346507488232774,143.42113992297817,57.236937954642706,1
33.18712180525487,148.11683503497855,66.51970337169827,1
35.95323167670683,136.37669584588355,59.65972954317269,1
27.9807570083659,129.33278751548463,67.97973699777747,1
22.648893734348672,131.3702138745123,107.00246656657848,1
31.040480672690762,135.71138773845382,50.39472264056225,1
29.13807355858346,141.3436522389516,51.54259048486228,1
29.02046925303242,141.0540421449709,51.45369906669702,1
30.693401088862004,119.90056418360041,52.708301955507274,1
30.67979340016296,119.86734278165972,52.654338781758476,1
28.447927586729282,142.4674519012271,45.76681411907287,1
28.372151189213756,142.25326011210421,45.73795334040297,1
24.389007923673997,105.75702706292736,67.68232968721124,1
24.56308330253188,105.9955443771946,66.50330923119571,1
26.808773903262093,129.9609483509613,61.73218638234087,1
27.66380920489638,151.19307214346838,50.64278453696469,1
23.808552535716515,144.94056521950304,65.67941798905086,1
24.04238244253093,145.40898966840362,67.0220647927783,1
26.480412650485814,148.50885616266015,71.15896818023458,1
26.28813436302404,148.79313765338907,68.9266756667828,1
