label,H,S,V,dissimilarity 0,dissimilarity 45,dissimilarity 90,dissimilarity 135,homogeneity 0,homogeneity 45,homogeneity 90,homogeneity 135,contrast 0,contrast 45,contrast 90,contrast 135
1,86.45389060356653,95.81981481481482,165.12230538408778,6.29129198966455,6.650054932906627,6.377709732989181,6.4391030734794175,0.2700565781746564,0.2590203670208816,0.2632674384666963,0.26278920761212066,178.21713867356766,189.46335387848586,165.88184409992533,177.8664914456838
1,84.15671982167352,100.01221965020576,166.3839188957476,5.677229974160516,6.457178245187954,6.5196985357454205,6.595229992676256,0.3448516366082673,0.33390639767215274,0.33192451835573417,0.32284353701780905,174.90192075797657,237.63642708090404,242.55917312662694,244.1538475491134
1,86.17697445130315,109.21515089163238,165.5947299382716,4.289087855297178,4.707985828001616,4.506931093884484,4.680513329003548,0.4486198415096667,0.43386375683223233,0.44587640953844154,0.4349303942346114,150.29786821705278,177.66259190034384,165.6144056847518,177.8579535246989
1,86.17697445130315,109.21515089163238,165.5947299382716,4.289087855297178,4.707985828001616,4.506931093884484,4.680513329003548,0.4486198415096667,0.43386375683223233,0.44587640953844154,0.4349303942346114,150.29786821705278,177.66259190034384,165.6144056847518,177.8579535246989
1,89.31724022633745,95.98878515089163,165.66568930041151,5.547504737295691,5.936130132254227,5.909679586563577,6.0475791517537205,0.33533473306689565,0.32332817072867265,0.32193844411258626,0.3185052283142662,167.49338415159883,190.92697637541198,176.6449732988873,185.37105104961225
1,89.31724022633745,95.98878515089163,165.66568930041151,5.547504737295691,5.936130132254227,5.909679586563577,6.0475791517537205,0.33533473306689565,0.32332817072867265,0.32193844411258626,0.3185052283142662,167.49338415159883,190.92697637541198,176.6449732988873,185.37105104961225
1,92.30587105624143,84.21889574759945,148.58572359396433,5.217571920758427,5.6547691436002525,5.653637381568072,5.682884253949657,0.2951907035310568,0.28033560621966486,0.28298998858695873,0.2810227055584793,156.07437639966852,174.12447140035977,169.06032988804282,172.71282787000476
1,83.79218621399177,96.90040037722908,168.4776148834019,4.3064366925066935,4.64448217962756,4.505237726098423,4.502108352565964,0.4075116315526246,0.3811596944630651,0.39426914084749515,0.3963809462072263,96.46810766580926,105.8205283232768,99.84710508182978,103.0994173311674
1,83.79218621399177,96.90040037722908,168.4776148834019,4.3064366925066935,4.64448217962756,4.505237726098423,4.502108352565964,0.4075116315526246,0.3811596944630651,0.39426914084749515,0.3963809462072263,96.46810766580926,105.8205283232768,99.84710508182978,103.0994173311674
1,82.25534465020576,94.22554783950618,149.1321407750343,7.5002678725241925,7.868687034453218,7.312548664944543,7.84749813435506,0.25916000871507905,0.24860667452751053,0.25529195707750435,0.2503571546038428,248.76294315247196,268.52742413042904,228.10474504739017,273.59497605757343
1,86.45389060356653,95.81981481481482,165.12230538408778,6.29129198966455,6.650054932906627,6.377709732989181,6.4391030734794175,0.2700565781746564,0.2590203670208816,0.2632674384666963,0.26278920761212066,178.21713867356766,189.46335387848586,165.88184409992533,177.8664914456838
1,82.25534465020576,94.22554783950618,149.1321407750343,7.5002678725241925,7.868687034453218,7.312548664944543,7.84749813435506,0.25916000871507905,0.24860667452751053,0.25529195707750435,0.2503571546038428,248.76294315247196,268.52742413042904,228.10474504739017,273.59497605757343
1,88.58502572016461,95.91119341563785,163.52170010288066,5.4262394487513985,5.692466418375206,5.575585701981473,5.754233115905625,0.33897593869396153,0.3245997287444026,0.32979715425082484,0.3265044776412516,156.57774849268742,166.75270605024,154.40374763136424,173.24179029451497
1,88.58502572016461,95.91119341563785,163.52170010288066,5.4262394487513985,5.692466418375206,5.575585701981473,5.754233115905625,0.33897593869396153,0.3245997287444026,0.32979715425082484,0.3265044776412516,156.57774849268742,166.75270605024,154.40374763136424,173.24179029451497
1,88.79926611796982,99.01414094650205,157.2561694101509,5.9962937123172875,6.264749830710588,6.301529715762643,6.369462659444384,0.30390279830744255,0.2939697192260777,0.2947845826226259,0.2926941651105919,168.18190267011906,178.60039161290078,174.03636864773313,182.83870023218705
1,88.79926611796982,99.01414094650205,157.2561694101509,5.9962937123172875,6.264749830710588,6.301529715762643,6.369462659444384,0.30390279830744255,0.2939697192260777,0.2947845826226259,0.2926941651105919,168.18190267011906,178.60039161290078,174.03636864773313,182.83870023218705
1,88.54326303155007,90.97548182441702,168.879704218107,4.880482342808073,5.300747294814157,5.170741602067355,5.3058985503247165,0.36304363450735727,0.3466125432014463,0.35087295624449855,0.3510753364409716,152.09503014643053,176.93066879951013,161.53990783807436,176.92630007879126
1,85.4199537037037,112.8733573388203,164.42500771604938,7.013952627046161,7.2557973217626905,6.611881136951322,6.959596675005394,0.33988905297152405,0.3320538980499945,0.3677881736414624,0.34749673801982106,256.68731007753655,270.5886129959796,233.4194039621233,260.17877551446065
1,85.4199537037037,112.8733573388203,164.42500771604938,7.013952627046161,7.2557973217626905,6.611881136951322,6.959596675005394,0.33988905297152405,0.3320538980499945,0.3677881736414624,0.34749673801982106,256.68731007753655,270.5886129959796,233.4194039621233,260.17877551446065
1,86.29624056927298,100.96702589163237,161.5925342935528,6.656537467700757,6.929987320518785,6.40440740740783,6.617147876619437,0.3672662585570087,0.3591073287395249,0.3883913997101574,0.37072181789765113,242.50427045652035,262.5509260858951,235.69384237727812,242.583398688543
1,88.70485768175583,78.05029835390947,192.36911093964335,5.52883462532313,5.82946614889301,5.647619293712448,5.805440776109417,0.34760395158976104,0.3390036231946328,0.34060904538111986,0.3372031971088458,179.87236089578576,193.06678321196733,179.1687372954386,194.7729059852848
