label,H,S,V,correlation,homogeneity,contrast
1,76.57328703703703,119.0131462191358,160.60105902777778,0.9247373216903589,0.32760628910080264,430.7655594405593
1,52.36808063271605,107.64100887345678,142.6689949845679,0.9554207300761989,0.27260208280210646,263.53745143745147
1,76.5720736882716,119.02474922839507,160.60314043209877,0.9247368677118796,0.3276041716071468,430.77541958041957
1,52.354681712962964,107.65367283950617,142.67135802469136,0.9554194332589037,0.2726634015187419,263.5477797202797
1,67.05713348765433,112.93315972222223,143.580106095679,0.9424902846561506,0.2869005891747586,307.771351981352
1,67.05179012345678,112.93240547839507,143.57818094135803,0.9424917504793938,0.2870240335413816,307.7765675990676
1,62.58298611111111,143.2772588734568,145.596143904321,0.9526338995431415,0.340156216959965,234.01735625485628
1,62.59752893518519,143.26594328703703,145.59203125,0.952632149617134,0.34028084538010006,234.0258741258741
1,72.52354552469136,109.84130594135803,165.4749363425926,0.9640735937188832,0.32163816603802525,304.7998951048951
1,64.65271412037038,153.1862422839506,152.1678086419753,0.9318442710307353,0.24871427292614276,301.9948581973581
1,59.95884066358025,153.48486111111112,146.59437692901236,0.9052064956703765,0.190059144687775,387.18547008547
1,49.79049961419753,149.02661265432099,120.66572916666667,0.9602414566481184,0.25859077876430736,261.14250971250965
1,31.087336033950617,126.75441358024692,174.95681327160494,0.8485118516109803,0.21142213228716822,486.50985625485623
1,59.960702160493824,153.47679205246914,146.59561535493827,0.9052108241710539,0.18993696782857822,387.16506410256403
1,68.28902970679012,153.13679205246913,142.47513695987655,0.9360832632726267,0.20853672208144108,251.62868492618495
1,68.29250771604939,153.1485725308642,142.47668016975308,0.9360769216660578,0.20847420641560832,251.65710178710174
1,66.00512924382716,168.87959104938273,117.97641589506173,0.9282171871888651,0.17028476849582214,372.5673640248641
1,66.01083526234568,168.8885185185185,117.97805941358024,0.9282128874945229,0.17032464134674982,372.5968512043511
1,72.25841820987654,155.2113850308642,113.08138695987654,0.9538028867873198,0.1847929848952358,306.1486946386947
1,72.26529899691359,155.19413773148148,113.08157214506173,0.9538067041669612,0.18468195308763213,306.1290811965812
1,65.18385609567902,164.02382716049382,128.99551311728396,0.9405913506467849,0.17889945113099523,294.8008275058275
1,67.35901813271605,141.00978202160493,122.21567708333333,0.9479584949782517,0.2218584237688451,303.4356177156177
1,63.16222800925926,131.0030825617284,142.76930169753086,0.9280816537182855,0.2565571203497175,373.05484071484074
1,31.091840277777777,126.75088155864198,174.9556211419753,0.8485116105874001,0.21135126939249677,486.5182711732712
1,67.36039158950618,140.99811728395062,122.21342785493827,0.9479595718368758,0.22182430843964718,303.43080808080805
1,66.10514467592593,146.53717978395062,125.16683063271606,0.9333483813827566,0.20615515131954293,398.4035528360529
1,66.10459104938272,146.5333236882716,125.16517939814815,0.933345184056937,0.20615056701553716,398.4230924630925
1,66.9118287037037,122.67471257716049,123.81065393518519,0.9299257458874917,0.187693199022255,382.9043997668997
1,66.90275077160494,122.68592399691359,123.81170331790123,0.9299251702760203,0.18772281935649204,382.8949805749806
1,50.76650655864198,141.1913638117284,112.15500771604938,0.9429106228950603,0.2573680104585006,320.83081196581196
1,50.77551890432099,141.1690798611111,112.15360725308642,0.9429099315746925,0.2573718006875827,320.8378243978244
1,60.48480902777778,103.7427237654321,159.94514081790123,0.923331455890822,0.226725643268745,429.7779895104895
1,60.45773919753086,103.74405285493827,159.94274691358024,0.9233276825020017,0.22668714348312252,429.8074222999223
1,63.157546296296296,130.99792052469135,142.77029706790123,0.9280862165335623,0.25649607155033693,373.0229098679099
1,49.74632716049383,149.01522183641976,120.66452160493827,0.9602401686473419,0.258540582504482,261.1513209013209
1,33.82546103395062,149.26901041666667,130.81615547839507,0.9296647124346066,0.24550548628904076,245.3455788655789
1,33.81770640432099,149.25223572530865,130.81104938271605,0.9296667059636377,0.245704069075492,245.33528166278168
1,47.804780092592594,147.6991550925926,138.39658179012346,0.9350169191482846,0.263070887167307,247.36157536907538
1,47.827515432098764,147.70455825617285,138.40016975308643,0.9350108886564412,0.2630029848118077,247.39047785547783
1,63.78144097222222,166.71438078703704,150.164893904321,0.9163413368003291,0.23530598595521707,331.26061383061386
2,64.77860918209876,127.8766512345679,150.32362847222223,0.8904871261656196,0.1695841199138317,563.4214743589744
2,60.70634066358025,167.9783487654321,128.0524575617284,0.9346278953884359,0.14104192379968805,240.2793706293707
2,64.71494984567902,127.87140432098765,150.3237750771605,0.89048788796911,0.1698103862219866,563.418238150738
2,60.722563657407406,167.97189814814814,128.0539814814815,0.9346295725890776,0.14111667304196518,240.27345571095574
2,69.00013888888888,143.1645100308642,132.35398148148147,0.9156404306098748,0.16809550271834495,375.3629681429682
2,68.98574845679012,143.164787808642,132.35527584876544,0.9156431132865974,0.16823231232405314,375.3450951825952
2,60.21445408950617,149.45929976851852,140.28513695987655,0.882306362058322,0.16081105658229672,369.75420551670555
2,60.22335455246913,149.44641975308642,140.28374807098766,0.8823088520739014,0.16079446482267867,369.7448232323233
2,67.9304436728395,155.7161902006173,135.1621836419753,0.9351320756030819,0.17637883764128812,280.53980380730377
2,67.9339274691358,155.71748649691358,135.1617997685185,0.93513131658394,0.17651305006056478,280.55127622377626
2,58.08020640432099,171.7416010802469,125.69447530864197,0.9270956251468273,0.1325799169622473,219.0817404817405
2,56.999342206790125,176.79734567901235,129.8505787037037,0.9053832688646954,0.1436688620909679,355.2477486402486
2,58.07703703703704,171.73806905864197,125.6915374228395,0.927085532486059,0.1324705164187771,219.11516511266512
2,67.81964699074074,136.70762924382717,122.31019097222222,0.867298763471637,0.10730519366123845,497.69057886557886
2,63.2787962962963,140.95096836419754,116.5255613425926,0.9026081929064497,0.12959301124756017,434.5355516705517
2,58.14630401234568,134.46717785493829,156.78930169753087,0.9265188787875877,0.16761003810215647,410.3029156954157
2,58.13331597222222,134.45922839506173,156.79003665123457,0.9265194783634042,0.1676577617758447,410.30251554001563
2,60.598059413580245,153.78736304012347,148.05478780864198,0.90749266677794,0.17512585154875,399.2138655788656
2,60.616655092592595,153.79063464506171,148.0571701388889,0.9074921231396417,0.17516646654283252,399.2150135975137
2,60.220032793209874,157.1381674382716,129.96722415123457,0.9012143152046224,0.14194176929340555,437.8981216006216
2,60.25609375,157.13882716049383,129.96760995370371,0.9012213995349968,0.14194883041313736,437.8684052059052
2,57.133533950617284,158.31488811728394,156.13815586419753,0.8667771447481895,0.170656425027674,536.914935897436
2,63.204720293209874,166.92103973765433,135.8545486111111,0.9226793710052343,0.16638461090958384,232.11678710178708
2,66.21893904320987,165.07727044753085,131.9639737654321,0.9460417846305926,0.16091834788634812,206.8735508935509
2,66.22301311728395,165.0654610339506,131.96132908950617,0.9460419078973192,0.16099094691843815,206.87240481740483
2,64.12652777777778,167.13449074074074,123.55465663580247,0.9386763846124494,0.14116325423192927,249.41580808080812
2,64.12289351851852,167.1356288580247,123.55339313271605,0.9386763928082105,0.141268158879651,249.41621017871017
