label,H,S,V,correlation 0,correlation 45,correlation 90,correlation 135,homogeneity 0,homogeneity 45,homogeneity 90,homogeneity 135,contrast 0,contrast 45,contrast 90,contrast 135
1,76.57328703703703,119.0131462191358,160.60105902777778,0.9247373216903485,0.9179325650347155,0.9280662587560723,0.9144709096331822,0.32760628910080314,0.3153054029890521,0.34163719515327673,0.32878674576067823,430.7655594405777,470.45848873328225,412.4270920746112,490.2945327862237
1,52.36808063271605,107.64100887345678,142.6689949845679,0.9554207300761979,0.9506539007959813,0.9597947187057019,0.9538065382079219,0.2726020828021237,0.27087548983252135,0.28837009867670166,0.26890923572635517,263.5374514374709,291.22395329426416,237.39211538463772,272.61712142260126
1,76.5720736882716,119.02474922839507,160.60314043209877,0.9247368677118548,0.9179329293841658,0.9280639191023954,0.9144677898903106,0.32760417160714506,0.315341409692968,0.3415885771265489,0.3288152522622496,430.7754195804328,470.4643913268312,412.4481876457131,490.3207452952074
1,52.354681712962964,107.65367283950617,142.67135802469136,0.9554194332588929,0.9506545165296172,0.9597950812247381,0.9538055855596482,0.2726634015187608,0.2708396332624137,0.2883650670208723,0.26884314975069185,263.5477797202992,291.22316524145873,237.39232905985332,272.6254076808344
1,67.05713348765433,112.93315972222223,143.580106095679,0.9424902846561579,0.9371634073426907,0.9478995329165462,0.9439237954420153,0.286900589174787,0.28684399935244775,0.29094615021574965,0.27903396812015696,307.77135198138365,335.5443942917445,278.7803690753996,299.4383173122464
1,67.05179012345678,112.93240547839507,143.57818094135803,0.9424917504794245,0.9371668066963192,0.9478995663968048,0.9439264824599037,0.2870240335414118,0.28690311712896255,0.290968697549165,0.27917917406891213,307.7765675991001,335.54078758471394,278.79238344991614,299.43694992359116
1,62.58298611111111,143.2772588734568,145.596143904321,0.9526338995431511,0.947023418125857,0.9513467843684879,0.9464261805191881,0.34015621695997394,0.329619200959364,0.33497420435425646,0.32506639555115213,234.01735625486066,261.60590337382956,240.55113442113537,264.55321502141123
1,62.59752893518519,143.26594328703703,145.59203125,0.9526321496171474,0.9470208135882968,0.9513429686980974,0.9464248056316046,0.3402808453801072,0.32953157762353524,0.3350433726766692,0.32549789776042987,234.02587412587744,261.61823913114034,240.56938422688933,264.55947262884587
1,72.52354552469136,109.84130594135803,165.4749363425926,0.9640735937188787,0.9576382290894497,0.9667555555804819,0.964712225982205,0.3216381660380783,0.30132532370975607,0.31125009103374524,0.3096475703418885,304.79989510494045,358.9307800943442,282.2081138306567,298.9902624762792
1,64.65271412037038,153.1862422839506,152.1678086419753,0.9318442710307332,0.9303010213241205,0.9357158041396725,0.9259955611365444,0.2487142729261556,0.24054074245486068,0.24767146143605132,0.24168472643043623,301.99485819737293,307.87140304613155,284.6531721056919,326.8882447489506
1,59.95884066358025,153.48486111111112,146.59437692901236,0.9052064956703733,0.9045072833615939,0.913907521947191,0.9039794508643032,0.19005914468778964,0.18792825801298896,0.19280838114021615,0.18254835862868088,387.18547008550564,388.0034233482653,351.6704487179842,390.14912338883585
1,49.79049961419753,149.02661265432099,120.66572916666667,0.9602414566480959,0.9548584871052516,0.9575009610417601,0.953340584845116,0.25859077876434855,0.2421066015043088,0.24975211227782446,0.24802442347325565,261.1425097125459,295.32723307644477,278.2698834499256,305.255563184747
1,31.087336033950617,126.75441358024692,174.95681327160494,0.848511851610981,0.8375741126670555,0.8446885795301338,0.8378294165500075,0.2114221322871827,0.20659214861231648,0.22780226536578416,0.21127870476898275,486.5098562548973,520.0963336038881,498.32256021759355,519.2777047377346
1,59.960702160493824,153.47679205246914,146.59561535493827,0.905210824171055,0.9045081137027754,0.9139130018465584,0.9039788656801399,0.18993696782859176,0.1878648126407826,0.19279306341862976,0.18246339199284015,387.1650641025978,387.9970389501508,351.6455749806126,390.14847383045475
1,68.28902970679012,153.13679205246913,142.47513695987655,0.936083263272626,0.9318402971606696,0.9379357677410256,0.9315539366056049,0.20853672208145332,0.2015003895697872,0.2090514982519319,0.2027492390567821,251.62868492619933,268.1817437034159,244.3627816628021,269.3079062763693
1,68.29250771604939,153.1485725308642,142.47668016975308,0.9360769216660503,0.9318335700830551,0.9379269081010997,0.931544207909973,0.20847420641561978,0.2015096932588958,0.20898044598957954,0.20274272416068767,251.65710178711623,268.2116467963261,244.40068376070346,269.34963406264
1,66.00512924382716,168.87959104938273,117.97641589506173,0.9282171871888625,0.9236040113863714,0.9341872657477578,0.9260818174212446,0.17028476849583757,0.16388938586899796,0.17304179061891978,0.1672128536432936,372.56736402490225,395.3965368590779,341.78422688426633,382.5724755001973
