H,S,V,label
74.04195794753086,132.87396797839506,149.50818672839506,1
75.946925154321,115.05320408950617,138.20651041666667,1
74.04292052469135,132.87259066358024,149.50975308641975,1
75.94600887345679,115.08361689814815,138.2104938271605,1
66.85921489197531,160.31820987654322,133.1010551697531,1
66.8621836419753,160.32703125,133.10365162037036,1
64.29437692901234,174.63331790123456,119.03628086419754,1
64.29808449074073,174.63227044753086,119.03754050925926,1
64.20122685185186,163.14594907407408,122.03571759259259,1
74.70375192901234,145.85416666666666,145.53790702160495,1
74.7074324845679,145.8516724537037,145.53766010802468,1
77.43149305555555,118.49622299382716,158.94766203703705,1
69.81366898148148,149.89417052469136,134.22126157407408,1
69.34121720679012,125.50430941358024,159.88791666666665,1
69.81335069444444,149.90466435185186,134.2217650462963,1
76.07396219135802,143.72037037037038,149.79855902777777,1
76.06887152777777,143.7216435185185,149.79934220679013,1
75.62010223765432,135.8887114197531,156.2979263117284,1
75.61885030864198,135.88437692901235,156.29577932098766,1
81.18132716049382,116.68995370370371,153.86913580246915,1
81.19347029320987,116.69762152777778,153.87357445987655,1
68.98465277777778,157.42969907407408,148.5472125771605,1
70.60387924382717,153.8650289351852,142.02415895061728,1
68.98430362654321,157.4369675925926,148.54797067901234,1
69.35071759259259,125.48997878086419,159.8876601080247,1
70.17367476851852,142.42794560185186,138.7071277006173,1
73.7260686728395,135.54481288580246,121.87791473765432,1
73.7289949845679,135.54126543209875,121.8776350308642,1
69.33872106481482,149.25586033950617,116.95417438271605,1
69.32653356481481,149.25399884259258,116.95070408950617,1
76.8863599537037,124.89889081790123,163.26592206790124,1
76.88322723765432,124.89865162037037,163.2644347993827,1
64.68188850308643,158.87030092592593,141.46471643518518,1
70.6068113425926,153.87358024691358,142.02373842592593,1
64.68613233024692,158.87051697530865,141.46737461419752,1
76.46599151234568,131.06941936728396,144.30520833333333,1
76.46314043209877,131.07213541666667,144.30749614197532,1
79.00005208333333,126.31113233024692,122.2214737654321,1
61.614637345679014,161.95001736111112,146.3616550925926,1
61.61119405864198,161.94098958333333,146.36034915123457,1
49.79049961419753,149.02661265432099,120.66572916666667,2
49.74632716049383,149.01522183641976,120.66452160493827,2
64.77860918209876,127.8766512345679,150.32362847222223,2
60.070902777777775,170.68644290123456,146.3616512345679,2
67.04075810185185,160.8328086419753,134.3502237654321,2
64.71494984567902,127.87140432098765,150.3237750771605,2
60.722563657407406,167.97189814814814,128.0539814814815,2
67.9304436728395,155.7161902006173,135.1621836419753,2
67.81964699074074,136.70762924382717,122.31019097222222,2
60.598059413580245,153.78736304012347,148.05478780864198,2
60.616655092592595,153.79063464506171,148.0571701388889,2
63.16222800925926,131.0030825617284,142.76930169753086,2
61.0482137345679,131.46443094135802,135.28052662037038,2
69.0972974537037,151.5105825617284,137.11092399691358,2
70.08966049382715,176.9740162037037,125.5557851080247,2
73.81647955246913,92.3767611882716,142.76710455246914,2
69.10051118827161,151.51486111111112,137.11581018518518,2
70.32454282407407,159.36378086419754,120.44155092592592,2
67.38175540123457,141.00479359567902,122.20913773148148,2
66.11854166666667,146.53128086419753,125.19416087962964,2
66.14244984567901,161.39931712962962,106.68058834876543,2
67.79011766975309,172.7323225308642,126.28027391975309,2
63.157546296296296,130.99792052469135,142.77029706790123,2
66.10576967592593,168.71968171296297,118.15485725308642,2
58.38708333333334,158.39526041666667,105.85788194444444,2
60.34973765432099,140.48436921296297,121.34075038580247,2
58.33079089506173,136.59394675925927,129.00982638888888,2
59.72530285493827,148.88892939814815,131.23148726851852,2
63.37369212962963,138.8139949845679,112.5029050925926,2
62.156398533950615,150.8840084876543,137.75987461419754,2
59.72544945987654,148.90047839506173,131.2347337962963,2
59.15392361111111,178.00096064814815,144.88918595679013,2
64.59488040123456,125.61231481481481,125.83316936728394,2
33.82546103395062,149.26901041666667,130.81615547839507,2
64.59524305555556,125.59796682098765,125.83293402777778,2
33.81770640432099,149.25223572530865,130.81104938271605,2
47.804780092592594,147.6991550925926,138.39658179012346,2
47.827515432098764,147.70455825617285,138.40016975308643,2
63.78144097222222,166.71438078703704,150.164893904321,2
65.18385609567902,164.02382716049382,128.99551311728396,2
