label,R,G,B,Contrast,Homogeneity,Energy
1,133.7567481138546,153.60671724965707,138.6078129286694,265.13848578811366,0.4069243590431516,0.05899685885189946
1,136.58908093278464,145.4077914951989,115.1403420781893,172.89895004306632,0.3665713403909035,0.050430524813146436
1,136.96899862825788,154.80966735253773,126.77809413580248,277.7761567614125,0.3429982115872238,0.04828135361455999
1,136.96899862825788,154.80966735253773,126.77809413580248,277.7761567614125,0.3429982115872238,0.04828135361455999
1,140.4038803155007,146.52720164609053,100.61210819615913,181.86460895779504,0.3731012732999075,0.06369481463077088
1,140.4038803155007,146.52720164609053,100.61210819615913,181.86460895779504,0.3731012732999075,0.06369481463077088
1,135.16697359396434,149.00575445816187,103.49047410836762,178.31143238587427,0.3459690227173528,0.04723087103686989
1,135.16697359396434,149.00575445816187,103.49047410836762,178.31143238587427,0.3459690227173528,0.04723087103686989
1,118.00633916323731,150.4483650548697,124.60765432098765,247.0560594315245,0.3548608365550491,0.06016257498957348
1,155.67831618655694,162.5073096707819,137.57960905349793,162.11773729543498,0.4145344648126019,0.06668287796961662
1,133.7567481138546,153.60671724965707,138.6078129286694,265.13848578811366,0.4069243590431516,0.05899685885189946
1,155.67831618655694,162.5073096707819,137.57960905349793,162.11773729543498,0.4145344648126019,0.06668287796961662
1,133.03424982853224,151.91840192043895,136.01622256515776,218.1650241171404,0.3753388152543983,0.05183108152983037
1,133.03424982853224,151.91840192043895,136.01622256515776,218.1650241171404,0.3753388152543983,0.05183108152983037
1,139.17842163923183,152.77866255144033,114.41071416323732,162.58292075796726,0.4244373491398228,0.05839282596280722
1,139.17842163923183,152.77866255144033,114.41071416323732,162.58292075796726,0.4244373491398228,0.05839282596280722
1,147.52611282578874,173.9935013717421,160.99702074759946,208.2101834625323,0.42678804860206154,0.06677508038859405
1,133.43022033607681,160.49870713305899,136.4837371399177,205.54308613264428,0.38151654071753754,0.07613947389524048
1,143.21784293552813,168.7777031893004,165.58894975994514,251.38321360895782,0.46049345923335716,0.09365234482859683
1,190.74411093964335,189.66446244855968,143.44475394375857,342.9986339362619,0.3441827946117862,0.05176665168537624
1,143.21784293552813,168.7777031893004,165.58894975994514,251.38321360895782,0.46049345923335716,0.09365234482859683
1,123.58508573388202,147.00716820987654,125.25875600137174,170.4858776916451,0.2648439311909279,0.039326584249556186
1,123.58508573388202,147.00716820987654,125.25875600137174,170.4858776916451,0.2648439311909279,0.039326584249556186
1,112.27573645404664,137.19945301783264,126.61133916323732,207.3584737295435,0.24807775054397663,0.03824292480463725
1,112.27573645404664,137.19945301783264,126.61133916323732,207.3584737295435,0.24807775054397663,0.03824292480463725
1,109.82693930041152,134.07560185185184,134.92271776406037,184.3332248062016,0.28009927189971956,0.03824878929951762
1,109.82693930041152,134.07560185185184,134.92271776406037,184.3332248062016,0.28009927189971956,0.03824878929951762
1,114.71578360768176,137.02264574759946,131.37329989711935,190.73867355727825,0.2552852277310722,0.04524596224071439
1,121.65673782578875,144.75116683813442,128.5629603909465,181.320060292851,0.30012209448458527,0.05070686485039723
1,190.74411093964335,189.66446244855968,143.44475394375857,342.9986339362619,0.3441827946117862,0.05176665168537624
1,121.65673782578875,144.75116683813442,128.5629603909465,181.320060292851,0.30012209448458527,0.05070686485039723
1,127.52847479423869,146.59502743484225,133.14008316186556,233.18806115417743,0.2740796567427499,0.0511815739177655
1,127.52847479423869,146.59502743484225,133.14008316186556,233.18806115417743,0.2740796567427499,0.0511815739177655
1,127.11261059670782,145.919045781893,130.79170267489712,241.1045279931094,0.2361517398009802,0.042541467898760815
1,127.11261059670782,145.919045781893,130.79170267489712,241.1045279931094,0.2361517398009802,0.042541467898760815
1,125.53857596021948,135.70049554183814,110.72418209876543,188.06992678725237,0.3604364833907013,0.04038912263883493
1,125.53857596021948,135.70049554183814,110.72418209876543,188.06992678725237,0.3604364833907013,0.04038912263883493
1,166.60612568587106,177.4070816186557,156.43686985596707,308.7613049095607,0.33134667855594346,0.03955638550944785
1,166.60612568587106,177.4070816186557,156.43686985596707,308.7613049095607,0.33134667855594346,0.03955638550944785
1,136.58908093278464,145.4077914951989,115.1403420781893,172.89895004306632,0.3665713403909035,0.050430524813146436
2,129.33227794924554,145.8304809670782,170.02961848422495,426.6070172265288,0.2617274825579056,0.06188569162051657
2,124.1437457133059,142.4264746227709,159.81890260631002,157.6987639965547,0.2495869221858941,0.05596910133870091
2,130.9792181069959,150.51937585733882,157.43042781207134,116.51748751076659,0.27069734951803265,0.05840446557092056
2,130.9792181069959,150.51937585733882,157.43042781207134,116.51748751076659,0.27069734951803265,0.05840446557092056
2,124.43055555555556,148.16654835390946,156.50527349108367,113.74934625322997,0.2695912882811241,0.06069152554783808
2,124.43055555555556,148.16654835390946,156.50527349108367,113.74934625322997,0.2695912882811241,0.06069152554783808
2,125.2066006515775,145.1448062414266,156.97712534293552,182.18497071490094,0.26384490909810915,0.05568828427640272
2,122.00500171467765,142.96590192043897,158.50312585733883,167.3924177433247,0.2398115892963849,0.049601396827114626
2,122.00500171467765,142.96590192043897,158.50312585733883,167.3924177433247,0.2398115892963849,0.049601396827114626
2,123.66905606995884,141.8757355967078,162.06393432784637,121.20638070628769,0.22603843099857612,0.04915844899619802
2,129.33227794924554,145.8304809670782,170.02961848422495,426.6070172265288,0.2617274825579056,0.06188569162051657
2,123.66905606995884,141.8757355967078,162.06393432784637,121.20638070628769,0.22603843099857612,0.04915844899619802
2,123.1371999314129,142.34005572702333,166.1682210219479,168.6807459086994,0.28064516263339995,0.060272428050245366
2,123.1371999314129,142.34005572702333,166.1682210219479,168.6807459086994,0.28064516263339995,0.060272428050245366
2,124.2189446159122,144.7669255829904,174.8861025377229,183.81959086993973,0.29539027594657774,0.07508932894459075
2,124.2189446159122,144.7669255829904,174.8861025377229,183.81959086993973,0.29539027594657774,0.07508932894459075
2,125.16557098765432,146.4565586419753,153.60424982853223,150.73050301464255,0.25390162370363956,0.05217948876373248
2,125.16557098765432,146.4565586419753,153.60424982853223,150.73050301464255,0.25390162370363956,0.05217948876373248
2,124.68314814814815,145.01723165294925,162.7249828532236,108.83522825150733,0.19870021812628536,0.048231725299905756
2,124.68314814814815,145.01723165294925,162.7249828532236,108.83522825150733,0.19870021812628536,0.048231725299905756
2,115.48944101508917,133.76600737311387,169.48482167352537,229.87070801033593,0.19708219578298486,0.045632488268825516
2,121.53094478737997,139.0531970164609,168.41121484910838,187.24458742463398,0.25610612346368034,0.06213255874664096
2,167.20139917695474,184.64020061728394,188.4423396776406,330.58932558139537,0.3445123134159393,0.057438606873454104
2,167.20139917695474,184.64020061728394,188.4423396776406,330.58932558139537,0.3445123134159393,0.057438606873454104
2,129.5053798010974,144.01278635116597,165.7028549382716,269.8403970714901,0.2999497497326426,0.06643526166494097
2,129.5053798010974,144.01278635116597,165.7028549382716,269.8403970714901,0.2999497497326426,0.06643526166494097
2,125.0652237654321,140.70748456790125,160.51335991083675,219.72365202411717,0.2420675680059091,0.0504326967382582
2,125.0652237654321,140.70748456790125,160.51335991083675,219.72365202411717,0.2420675680059091,0.0504326967382582
2,129.87475737311385,151.3170447530864,164.59846021947874,268.42929112833764,0.30417701836898015,0.06822166062758843
2,122.68079732510289,144.86077246227708,163.26848079561043,107.01584582256676,0.24203853781801193,0.05173746993476404
2,122.68079732510289,144.86077246227708,163.26848079561043,107.01584582256676,0.24203853781801193,0.05173746993476404
2,117.22726423182442,142.9500205761317,164.00453360768176,118.40765202411714,0.21978432516418853,0.05149731313312768
2,117.22726423182442,142.9500205761317,164.00453360768176,118.40765202411714,0.21978432516418853,0.05149731313312768
2,126.05754801097393,140.28592764060357,166.66802554869685,289.3138587424634,0.2397021987036688,0.05457846308482649
2,126.05754801097393,140.28592764060357,166.66802554869685,289.3138587424634,0.2397021987036688,0.05457846308482649
2,122.66739283264747,142.4046416323731,157.40506172839505,113.34615762273903,0.2450223224637562,0.05423786111029336
2,122.66739283264747,142.4046416323731,157.40506172839505,113.34615762273903,0.2450223224637562,0.05423786111029336
