label,R,G,B,correlation 0,correlation 45,correlation 90,correlation 135,homogeneity 0,homogeneity 45,homogeneity 90,homogeneity 135,contrast 0,contrast 45,contrast 90,contrast 135
1,133.7567481138546,153.60671724965707,138.6078129286694,0.9484161243345718,0.9366709387924205,0.9385902210403521,0.9345573706990014,0.4069243590431937,0.38412171066549483,0.39550015269325334,0.3930534936469741,265.13848578814276,326.2441681292736,316.300658053454,337.12829770183595
1,136.58908093278464,145.4077914951989,115.1403420781893,0.972996176653952,0.9705032954766447,0.9726013242565351,0.969630170797588,0.3665713403909409,0.3568400173920521,0.36922031713854414,0.3590534203616748,172.8989500430824,189.0219878456872,175.28330404825482,194.61679634059746
1,136.96899862825788,154.80966735253773,126.77809413580248,0.9460038374635236,0.9360949018282055,0.9455992640981681,0.9427687504478186,0.3429982115872555,0.3302365148083784,0.3460056789801653,0.3357043226800685,277.77615676143546,329.2031843811204,280.1066752799607,294.82331124503963
1,136.96899862825788,154.80966735253773,126.77809413580248,0.9460038374635236,0.9360949018282055,0.9455992640981681,0.9427687504478186,0.3429982115872555,0.3302365148083784,0.3460056789801653,0.3357043226800685,277.77615676143546,329.2031843811204,280.1066752799607,294.82331124503963
1,140.4038803155007,146.52720164609053,100.61210819615913,0.9490744186824454,0.943607530104564,0.9486619790607855,0.9459480319922865,0.3731012732999835,0.3628869160807544,0.37298930747638215,0.3642197668731913,181.86460895783142,201.70998794242527,183.62621188634665,193.33442565749328
1,140.4038803155007,146.52720164609053,100.61210819615913,0.9490744186824454,0.943607530104564,0.9486619790607855,0.9459480319922865,0.3731012732999835,0.3628869160807544,0.37298930747638215,0.3642197668731913,181.86460895783142,201.70998794242527,183.62621188634665,193.33442565749328
1,135.16697359396434,149.00575445816187,103.49047410836762,0.9533375935144717,0.9503349535672295,0.9553256916345081,0.9506497822229274,0.34596902271735896,0.3343070531339298,0.34682601795533896,0.3372580750162133,178.31143238587683,189.92268366247677,170.73316968131192,188.7189344052798
1,135.16697359396434,149.00575445816187,103.49047410836762,0.9533375935144717,0.9503349535672295,0.9553256916345081,0.9506497822229274,0.34596902271735896,0.3343070531339298,0.34682601795533896,0.3372580750162133,178.31143238587683,189.92268366247677,170.73316968131192,188.7189344052798
1,118.00633916323731,150.4483650548697,124.60765432098765,0.9449623715058382,0.9409701835475145,0.9437886245481887,0.9398137764336448,0.3548608365550656,0.343130119541648,0.35130001052495413,0.3427861999415045,247.0560594315379,265.14113265434383,252.4864272179293,270.3343997457338
1,155.67831618655694,162.5073096707819,137.57960905349793,0.97010947900479,0.9667078416377749,0.9711974071388223,0.9684406546944077,0.4145344648126205,0.4068735761097697,0.42273736653643945,0.40780289220277915,162.11773729544072,180.81076391289403,156.22968733851107,171.39975262919148
1,133.7567481138546,153.60671724965707,138.6078129286694,0.9484161243345718,0.9366709387924205,0.9385902210403521,0.9345573706990014,0.4069243590431937,0.38412171066549483,0.39550015269325334,0.3930534936469741,265.13848578814276,326.2441681292736,316.300658053454,337.12829770183595
1,155.67831618655694,162.5073096707819,137.57960905349793,0.97010947900479,0.9667078416377749,0.9711974071388223,0.9684406546944077,0.4145344648126205,0.4068735761097697,0.42273736653643945,0.40780289220277915,162.11773729544072,180.81076391289403,156.22968733851107,171.39975262919148
1,133.03424982853224,151.91840192043895,136.01622256515776,0.9606003919615124,0.9579525581081395,0.9642212505501344,0.9617810097651509,0.37533881525441154,0.37328612424409346,0.38674017839893354,0.36896428533781866,218.1650241171501,232.87771900611042,197.99549440138853,211.67263443016537
1,133.03424982853224,151.91840192043895,136.01622256515776,0.9606003919615124,0.9579525581081395,0.9642212505501344,0.9617810097651509,0.37533881525441154,0.37328612424409346,0.38674017839893354,0.36896428533781866,218.1650241171501,232.87771900611042,197.99549440138853,211.67263443016537
1,139.17842163923183,152.77866255144033,114.41071416323732,0.9661303359678342,0.9632383483200198,0.96628053388695,0.9629476652013592,0.42443734913983006,0.41278067352151454,0.4213233681597476,0.4087828501946729,162.58292075796956,176.69390797530036,161.92047803617845,178.09086213569265
1,139.17842163923183,152.77866255144033,114.41071416323732,0.9661303359678342,0.9632383483200198,0.96628053388695,0.9629476652013592,0.42443734913983006,0.41278067352151454,0.4213233681597476,0.4087828501946729,162.58292075796956,176.69390797530036,161.92047803617845,178.09086213569265
1,147.52611282578874,173.9935013717421,160.99702074759946,0.9755400786343448,0.9715099689908827,0.9760002762388458,0.9752118877708646,0.4267880486020691,0.41177205542599543,0.42104560821313725,0.41602108020855444,208.21018346253607,242.7023336120509,204.25440051680158,211.1655251102366
1,133.43022033607681,160.49870713305899,136.4837371399177,0.9541827397561274,0.9516664408874151,0.953751226770286,0.9493838294366705,0.38151654071754354,0.3643251385899486,0.37424464915575206,0.36814044571749693,205.5430861326487,217.1017044747961,207.5223376399664,227.35322376695595
1,143.21784293552813,168.7777031893004,165.58894975994514,0.9403683496933596,0.941677011757179,0.9511642205922024,0.9411770579373798,0.46049345923337104,0.4455710623692822,0.4516139356443163,0.44209484097333895,251.3832136089655,246.34760523626622,206.70406718347067,248.46228631447164
1,190.74411093964335,189.66446244855968,143.44475394375857,0.9026715712108218,0.8959415900540846,0.8994430999292515,0.8954967378127008,0.3441827946118085,0.33804230846992495,0.36471309636380717,0.3445297613546908,342.99863393627334,367.20486087121105,354.8842385874431,368.77341299183263
