label,Mean,Variance,Skewness,Kurtosis,Entropy,Contrast,Homogeneity,Energy
1,0.09887695,111.18915,502.87660485346106,361650.9393486205,8.966524,265.13848578811366,0.4069243590431516,0.05899685885189946
1,0.09887695,171.4649,395.29148200750893,222949.28079647588,7.9400396,172.89895004306632,0.3665713403909035,0.050430524813146436
1,0.09887695,82.882034,309.34044434506427,127778.70914788195,8.76553,277.7761567614125,0.3429982115872238,0.04828135361455999
1,0.09887695,82.882034,309.34044434506427,127778.70914788195,8.76553,277.7761567614125,0.3429982115872238,0.04828135361455999
1,0.09887695,187.63393,510.26388232560817,379368.3298207355,8.294275,181.86460895779504,0.3731012732999075,0.06369481463077088
1,0.09887695,187.63393,510.26388232560817,379368.3298207355,8.294275,181.86460895779504,0.3731012732999075,0.06369481463077088
1,0.09887695,66.969635,313.9706195706002,170817.85831424876,8.753404,178.31143238587427,0.3459690227173528,0.04723087103686989
1,0.09887695,66.969635,313.9706195706002,170817.85831424876,8.753404,178.31143238587427,0.3459690227173528,0.04723087103686989
1,0.09887695,133.71959,527.3967376859126,416027.99779651314,8.705377,247.0560594315245,0.3548608365550491,0.06016257498957348
1,0.09887695,133.71959,527.3967376859126,416027.99779651314,8.705377,247.0560594315245,0.3548608365550491,0.06016257498957348
1,0.09887695,366.3597,752.0026906786387,754778.0963068447,8.007301,162.11773729543498,0.4145344648126019,0.06668287796961662
1,0.09887695,111.18915,502.87660485346106,361650.9393486205,8.966524,265.13848578811366,0.4069243590431516,0.05899685885189946
1,0.09887695,366.3597,752.0026906786387,754778.0963068447,8.007301,162.11773729543498,0.4145344648126019,0.06668287796961662
1,0.09887695,219.98715,440.00199031024596,243237.2785056021,8.058007,218.1650241171404,0.3753388152543983,0.05183108152983037
1,0.09887695,219.98715,440.00199031024596,243237.2785056021,8.058007,218.1650241171404,0.3753388152543983,0.05183108152983037
1,0.09887695,236.47092,566.7404088085101,466669.91328974173,7.818228,162.58292075796726,0.4244373491398228,0.05839282596280722
1,0.09887695,236.47092,566.7404088085101,466669.91328974173,7.818228,162.58292075796726,0.4244373491398228,0.05839282596280722
1,0.09887695,628.6821,1006.3091548968579,1399684.8825726213,7.541564,208.2101834625323,0.42678804860206154,0.06677508038859405
1,0.09887695,628.6821,1006.3091548968579,1399684.8825726213,7.541564,208.2101834625323,0.42678804860206154,0.06677508038859405
1,0.09887695,552.9437,762.5038773810185,717710.713851562,7.7409062,205.54308613264428,0.38151654071753754,0.07613947389524048
1,0.09887695,552.9437,762.5038773810185,717710.713851562,7.7409062,205.54308613264428,0.38151654071753754,0.07613947389524048
1,0.09887695,643.52563,647.3828714572818,524421.3827211162,7.4393907,251.38321360895782,0.46049345923335716,0.09365234482859683
1,0.09887695,186.41002,485.21571759627716,307051.4967713481,8.685755,342.9986339362619,0.3441827946117862,0.05176665168537624
1,0.09887695,643.52563,647.3828714572818,524421.3827211162,7.4393907,251.38321360895782,0.46049345923335716,0.09365234482859683
1,0.09887695,290.9482,382.2387577341139,166528.41839235302,7.6153502,170.4858776916451,0.2648439311909279,0.039326584249556186
1,0.09887695,290.9482,382.2387577341139,166528.41839235302,7.6153502,170.4858776916451,0.2648439311909279,0.039326584249556186
1,0.09887695,364.3304,452.66184526410166,246134.19310686662,7.4081655,207.3584737295435,0.24807775054397663,0.03824292480463725
1,0.09887695,364.3304,452.66184526410166,246134.19310686662,7.4081655,207.3584737295435,0.24807775054397663,0.03824292480463725
1,0.09887695,245.2558,356.0959233506976,158191.79240136358,7.6482625,184.3332248062016,0.28009927189971956,0.03824878929951762
1,0.09887695,245.2558,356.0959233506976,158191.79240136358,7.6482625,184.3332248062016,0.28009927189971956,0.03824878929951762
1,0.09887695,382.6003,487.6611474545332,285684.51817358896,7.615047,190.73867355727825,0.2552852277310722,0.04524596224071439
1,0.09887695,382.6003,487.6611474545332,285684.51817358896,7.615047,190.73867355727825,0.2552852277310722,0.04524596224071439
1,0.09887695,321.5686,416.91613955772056,211017.17581925078,7.5210934,181.320060292851,0.30012209448458527,0.05070686485039723
1,0.09887695,186.41002,485.21571759627716,307051.4967713481,8.685755,342.9986339362619,0.3441827946117862,0.05176665168537624
1,0.09887695,321.5686,416.91613955772056,211017.17581925078,7.5210934,181.320060292851,0.30012209448458527,0.05070686485039723
1,0.09887695,293.26764,431.95466254540037,242043.23139119017,7.64773,233.18806115417743,0.2740796567427499,0.0511815739177655
1,0.09887695,293.26764,431.95466254540037,242043.23139119017,7.64773,233.18806115417743,0.2740796567427499,0.0511815739177655
1,0.09887695,353.11566,446.56304800551715,231932.02384888523,7.497801,241.1045279931094,0.2361517398009802,0.042541467898760815
1,0.09887695,353.11566,446.56304800551715,231932.02384888523,7.497801,241.1045279931094,0.2361517398009802,0.042541467898760815
1,0.09887695,114.747154,262.1461747420076,91820.84801101065,7.9830775,188.06992678725237,0.3604364833907013,0.04038912263883493
1,0.09887695,114.747154,262.1461747420076,91820.84801101065,7.9830775,188.06992678725237,0.3604364833907013,0.04038912263883493
1,0.09887695,135.09348,428.68697476628677,248722.41901053177,8.716864,308.7613049095607,0.33134667855594346,0.03955638550944785
1,0.09887695,135.09348,428.68697476628677,248722.41901053177,8.716864,308.7613049095607,0.33134667855594346,0.03955638550944785
1,0.09887695,171.4649,395.29148200750893,222949.28079647588,7.9400396,172.89895004306632,0.3665713403909035,0.050430524813146436
2,0.09887695,556.76355,512.4406714853186,310502.363659757,7.457079,426.6070172265288,0.2617274825579056,0.06188569162051657
2,0.09887695,1156.2743,731.0978563171585,615768.434596213,6.641347,157.6987639965547,0.2495869221858941,0.05596910133870091
2,0.09887695,557.40076,465.55230264486494,250579.69332270123,6.917815,116.51748751076659,0.27069734951803265,0.05840446557092056
2,0.09887695,557.40076,465.55230264486494,250579.69332270123,6.917815,116.51748751076659,0.27069734951803265,0.05840446557092056
2,0.09887695,629.9224,550.5554956394126,390619.9719545803,6.5848527,113.74934625322997,0.2695912882811241,0.06069152554783808
2,0.09887695,629.9224,550.5554956394126,390619.9719545803,6.5848527,113.74934625322997,0.2695912882811241,0.06069152554783808
2,0.09887695,550.0551,528.1892617865772,334349.76839546714,7.3485603,182.18497071490094,0.26384490909810915,0.05568828427640272
2,0.09887695,550.0551,528.1892617865772,334349.76839546714,7.3485603,182.18497071490094,0.26384490909810915,0.05568828427640272
2,0.09887695,626.99927,524.4582469406733,319136.1265752553,7.0155716,167.3924177433247,0.2398115892963849,0.049601396827114626
2,0.09887695,626.99927,524.4582469406733,319136.1265752553,7.0155716,167.3924177433247,0.2398115892963849,0.049601396827114626
2,0.09887695,586.3315,496.0292855059989,286400.92822496424,7.120081,121.20638070628769,0.22603843099857612,0.04915844899619802
2,0.09887695,556.76355,512.4406714853186,310502.363659757,7.457079,426.6070172265288,0.2617274825579056,0.06188569162051657
2,0.09887695,586.3315,496.0292855059989,286400.92822496424,7.120081,121.20638070628769,0.22603843099857612,0.04915844899619802
