label,Mean_h,Variance_h,Skewness_h,Kurtosis_h,Entropy_h,Mean_s,Variance_s,Skewness_s,Kurtosis_s,Entropy_s,Mean_v,Variance_v,Skewness_v,Kurtosis_v,Entropy_v,Contrast,Homogeneity,Energy
1,6480.0,443242530.0,6.066678456751961,40.240035910665945,3.4864423,4556.25,74262190.0,4.580937511152039,27.09142764261214,4.635261,4556.25,36842780.0,2.6142613975364357,6.8991205758351395,4.9007554,265.13848578811366,0.4069243590431516,0.05899685885189946
1,6480.0,301071360.0,4.132242648130976,22.58397937296422,3.3848104,4556.25,216329000.0,6.605473285213139,47.669294517579615,3.9596868,4556.25,48963150.0,1.9679641234623855,3.320448348223671,4.609291,172.89895004306632,0.3665713403909035,0.050430524813146436
1,6480.0,262203890.0,3.399756312884506,12.011114500534788,3.5796547,4556.25,66653110.0,3.8718395065196396,19.598372251707662,4.624939,4556.25,33396288.0,1.7720932074150404,2.7931971799417283,4.8479013,277.7761567614125,0.3429982115872238,0.04828135361455999
1,6480.0,262203890.0,3.399756312884506,12.011114500534788,3.5796547,4556.25,66653110.0,3.8718395065196396,19.598372251707662,4.624939,4556.25,33396288.0,1.7720932074150404,2.7931971799417283,4.8479013,277.7761567614125,0.3429982115872238,0.04828135361455999
1,6480.0,780626000.0,5.644331746791294,34.153027723723774,2.5586865,4556.25,116018664.0,7.2155057825309,68.65064072201578,4.4684887,4556.25,88875970.0,4.288063786095917,21.617195907372665,4.4323244,181.86460895779504,0.3731012732999075,0.06369481463077088
1,6480.0,780626000.0,5.644331746791294,34.153027723723774,2.5586865,4556.25,116018664.0,7.2155057825309,68.65064072201578,4.4684887,4556.25,88875970.0,4.288063786095917,21.617195907372665,4.4323244,181.86460895779504,0.3731012732999075,0.06369481463077088
1,6480.0,203502860.0,3.0945212756581437,9.69817748757176,3.7892342,4556.25,108089940.0,5.815487913883066,47.811091135721355,4.3677835,4556.25,58920540.0,2.1992520279525056,4.803028606819366,4.461625,178.31143238587427,0.3459690227173528,0.04723087103686989
1,6480.0,203502860.0,3.0945212756581437,9.69817748757176,3.7892342,4556.25,108089940.0,5.815487913883066,47.811091135721355,4.3677835,4556.25,58920540.0,2.1992520279525056,4.803028606819366,4.461625,178.31143238587427,0.3459690227173528,0.04723087103686989
1,6480.0,509961570.0,5.8444487275730985,39.34867652633914,3.1009362,4556.25,116982260.0,5.383636162033712,31.9712450026051,4.3918858,4556.25,51778460.0,2.2950672977001028,5.723955484767094,4.597518,247.0560594315245,0.3548608365550491,0.06016257498957348
1,6480.0,509961570.0,5.8444487275730985,39.34867652633914,3.1009362,4556.25,116982260.0,5.383636162033712,31.9712450026051,4.3918858,4556.25,51778460.0,2.2950672977001028,5.723955484767094,4.597518,247.0560594315245,0.3548608365550491,0.06016257498957348
1,6480.0,339394180.0,4.564719174709712,25.61321003163761,3.4448333,4556.25,300182660.0,7.402613345734954,57.30248960190326,3.8599043,4556.25,87363400.0,3.7262341566998827,16.11256941747879,4.4045115,162.11773729543498,0.4145344648126019,0.06668287796961662
1,6480.0,443242530.0,6.066678456751961,40.240035910665945,3.4864423,4556.25,74262190.0,4.580937511152039,27.09142764261214,4.635261,4556.25,36842780.0,2.6142613975364357,6.8991205758351395,4.9007554,265.13848578811366,0.4069243590431516,0.05899685885189946
1,6480.0,339394180.0,4.564719174709712,25.61321003163761,3.4448333,4556.25,300182660.0,7.402613345734954,57.30248960190326,3.8599043,4556.25,87363400.0,3.7262341566998827,16.11256941747879,4.4045115,162.11773729543498,0.4145344648126019,0.06668287796961662
1,6480.0,627542700.0,5.61655589586847,34.74039144819213,2.9235454,4556.25,171240030.0,5.665342541349633,32.73912370610739,4.188137,4556.25,49498500.0,2.259216421106979,5.5460663784541335,4.626698,218.1650241171404,0.3753388152543983,0.05183108152983037
1,6480.0,627542700.0,5.61655589586847,34.74039144819213,2.9235454,4556.25,171240030.0,5.665342541349633,32.73912370610739,4.188137,4556.25,49498500.0,2.259216421106979,5.5460663784541335,4.626698,218.1650241171404,0.3753388152543983,0.05183108152983037
1,6480.0,462776830.0,6.212821197805891,47.375685022884845,3.3574727,4556.25,230173740.0,6.771251571608657,54.64933185049316,3.7688518,4556.25,60406444.0,2.5844550512314157,7.325129513274421,4.482318,162.58292075796726,0.4244373491398228,0.05839282596280722
1,6480.0,462776830.0,6.212821197805891,47.375685022884845,3.3574727,4556.25,230173740.0,6.771251571608657,54.64933185049316,3.7688518,4556.25,60406444.0,2.5844550512314157,7.325129513274421,4.482318,162.58292075796726,0.4244373491398228,0.05839282596280722
1,6480.0,633325600.0,6.29514567153833,46.228402889784704,2.911513,4556.25,117192440.0,5.449829264068414,33.074874766152575,4.460547,4556.25,102342650.0,3.838027998585961,16.696967403250216,4.2711973,208.2101834625323,0.42678804860206154,0.06677508038859405
1,6480.0,633325600.0,6.29514567153833,46.228402889784704,2.911513,4556.25,117192440.0,5.449829264068414,33.074874766152575,4.460547,4556.25,102342650.0,3.838027998585961,16.696967403250216,4.2711973,208.2101834625323,0.42678804860206154,0.06677508038859405
1,6480.0,684581440.0,6.414735023345025,44.40066686915299,2.898219,4556.25,170471970.0,5.866452202908863,36.37817924741756,4.210669,4556.25,111397610.0,5.1448643828588505,30.066744511341646,4.3674183,205.54308613264428,0.38151654071753754,0.07613947389524048
1,6480.0,684581440.0,6.414735023345025,44.40066686915299,2.898219,4556.25,170471970.0,5.866452202908863,36.37817924741756,4.210669,4556.25,111397610.0,5.1448643828588505,30.066744511341646,4.3674183,205.54308613264428,0.38151654071753754,0.07613947389524048
