label,H,S,V,dissimilarity,homogeneity,contrast
1,81.9745773319616,102.58497256515776,168.37651748971194,6.645714039621017,0.4069243590431516,265.13848578811366
1,54.73797839506173,91.91657836076817,146.8414283264746,5.728038759689922,0.3665713403909035,172.89895004306632
1,76.85521433470508,96.2001183127572,160.53438443072702,7.174788975021532,0.3429982115872238,277.7761567614125
1,76.85521433470508,96.2001183127572,160.53438443072702,7.174788975021532,0.3429982115872238,277.7761567614125
1,33.47815072016461,103.16163923182442,147.15987825788753,6.481287683031869,0.3731012732999075,181.86460895779504
1,33.47815072016461,103.16163923182442,147.15987825788753,6.481287683031869,0.3731012732999075,181.86460895779504
1,55.77607338820302,109.51360082304527,150.51608196159123,6.378870801033593,0.3459690227173528,178.31143238587427
1,55.77607338820302,109.51360082304527,150.51608196159123,6.378870801033593,0.3459690227173528,178.31143238587427
1,75.72920696159122,143.89661436899863,171.58480281207133,8.148524547803614,0.3548608365550491,247.0560594315245
1,65.80678583676269,68.14685871056241,164.1213760288066,5.5686451335055995,0.4145344648126019,162.11773729543498
1,81.9745773319616,102.58497256515776,168.37651748971194,6.645714039621017,0.4069243590431516,265.13848578811366
1,65.80678583676269,68.14685871056241,164.1213760288066,5.5686451335055995,0.4145344648126019,162.11773729543498
1,78.28757115912208,93.00687757201646,162.59185613854595,6.406770887166236,0.3753388152543983,218.1650241171404
1,78.28757115912208,93.00687757201646,162.59185613854595,6.406770887166236,0.3753388152543983,218.1650241171404
1,74.73444530178327,109.15121056241426,158.3716092249657,5.103072351421188,0.4244373491398228,162.58292075796726
1,74.73444530178327,109.15121056241426,158.3716092249657,5.103072351421188,0.4244373491398228,162.58292075796726
1,82.07624228395062,92.0586025377229,188.01914180384088,5.897031007751939,0.42678804860206154,208.2101834625323
1,81.02535150891633,115.19775205761317,175.92589334705076,6.485144702842377,0.38151654071753754,205.54308613264428
1,86.84816015089163,103.25953875171467,192.087051611797,6.800378122308355,0.46049345923335716,251.38321360895782
1,32.471480624142664,78.10958847736626,192.29601508916323,9.103770887166235,0.3441827946117862,342.9986339362619
1,86.84816015089163,103.25953875171467,192.087051611797,6.800378122308355,0.46049345923335716,251.38321360895782
