label,H,S,V,dissimilarity,correlation,homogeneity
1,81.9745773319616,102.58497256515776,168.37651748971194,6.645714039621017,0.9484161243346109,0.4069243590431516
1,54.73797839506173,91.91657836076817,146.8414283264746,5.728038759689922,0.9729961766539408,0.3665713403909035
1,76.85521433470508,96.2001183127572,160.53438443072702,7.174788975021532,0.9460038374635332,0.3429982115872238
1,76.85521433470508,96.2001183127572,160.53438443072702,7.174788975021532,0.9460038374635332,0.3429982115872238
1,33.47815072016461,103.16163923182442,147.15987825788753,6.481287683031869,0.9490744186824345,0.3731012732999075
1,33.47815072016461,103.16163923182442,147.15987825788753,6.481287683031869,0.9490744186824345,0.3731012732999075
1,55.77607338820302,109.51360082304527,150.51608196159123,6.378870801033593,0.9533375935144636,0.3459690227173528
1,55.77607338820302,109.51360082304527,150.51608196159123,6.378870801033593,0.9533375935144636,0.3459690227173528
1,75.72920696159122,143.89661436899863,171.58480281207133,8.148524547803614,0.9449623715058291,0.3548608365550491
1,65.80678583676269,68.14685871056241,164.1213760288066,5.5686451335055995,0.9701094790047641,0.4145344648126019
1,81.9745773319616,102.58497256515776,168.37651748971194,6.645714039621017,0.9484161243346109,0.4069243590431516
1,65.80678583676269,68.14685871056241,164.1213760288066,5.5686451335055995,0.9701094790047641,0.4145344648126019
1,78.28757115912208,93.00687757201646,162.59185613854595,6.406770887166236,0.9606003919615043,0.3753388152543983
1,78.28757115912208,93.00687757201646,162.59185613854595,6.406770887166236,0.9606003919615043,0.3753388152543983
1,74.73444530178327,109.15121056241426,158.3716092249657,5.103072351421188,0.9661303359678421,0.4244373491398228
1,74.73444530178327,109.15121056241426,158.3716092249657,5.103072351421188,0.9661303359678421,0.4244373491398228
1,82.07624228395062,92.0586025377229,188.01914180384088,5.897031007751939,0.9755400786343433,0.42678804860206154
1,81.02535150891633,115.19775205761317,175.92589334705076,6.485144702842377,0.954182739756117,0.38151654071753754
1,86.84816015089163,103.25953875171467,192.087051611797,6.800378122308355,0.9403683496933852,0.46049345923335716
1,32.471480624142664,78.10958847736626,192.29601508916323,9.103770887166235,0.9026715712108239,0.3441827946117862
1,86.84816015089163,103.25953875171467,192.087051611797,6.800378122308355,0.9403683496933852,0.46049345923335716
1,81.3357981824417,118.31965449245541,159.49407836076819,6.640565030146425,0.9520201536354037,0.2648439311909279
1,81.3357981824417,118.31965449245541,159.49407836076819,6.640565030146425,0.9520201536354037,0.2648439311909279
1,85.18476766117969,115.37731052812072,151.43978737997256,7.137577950043065,0.9577131338386653,0.24807775054397663
1,85.18476766117969,115.37731052812072,151.43978737997256,7.137577950043065,0.9577131338386653,0.24807775054397663
1,89.32872427983538,109.59390775034294,151.6152494855967,6.541076658053402,0.9686293445750731,0.28009927189971956
1,89.32872427983538,109.59390775034294,151.6152494855967,6.541076658053402,0.9686293445750731,0.28009927189971956
1,83.86987825788752,121.00810956790123,158.31599451303154,7.018613264427219,0.9570206005628107,0.2552852277310722
1,82.8415835048011,93.2407767489712,151.12088477366254,5.960783807062878,0.966746417899042,0.30012209448458527
1,32.471480624142664,78.10958847736626,192.29601508916323,9.103770887166235,0.9026715712108239,0.3441827946117862
1,82.8415835048011,93.2407767489712,151.12088477366254,5.960783807062878,0.966746417899042,0.30012209448458527
1,84.48565586419753,95.60017489711935,156.15379543895747,6.85095521102498,0.956246167941076,0.2740796567427499
1,84.48565586419753,95.60017489711935,156.15379543895747,6.85095521102498,0.956246167941076,0.2740796567427499
1,82.62664008916323,81.0550505829904,151.60167009602193,7.287608096468563,0.9539474966943187,0.2361517398009802
1,82.62664008916323,81.0550505829904,151.60167009602193,7.287608096468563,0.9539474966943187,0.2361517398009802
1,58.59292781207133,88.101951303155,137.52300411522634,5.577739018087854,0.9651306035911664,0.3604364833907013
1,58.59292781207133,88.101951303155,137.52300411522634,5.577739018087854,0.9651306035911664,0.3604364833907013
1,77.2957261659808,70.03009945130316,183.7672213648834,8.13826270456503,0.9419759644918282,0.33134667855594346
1,77.2957261659808,70.03009945130316,183.7672213648834,8.13826270456503,0.9419759644918282,0.33134667855594346
1,54.73797839506173,91.91657836076817,146.8414283264746,5.728038759689922,0.9729961766539408,0.3665713403909035
2,87.6653926611797,106.63057270233196,185.1627880658436,8.840238587424633,0.8925072369525611,0.2617274825579056
2,91.85580332647463,115.0376560356653,178.4785553840878,6.388407407407407,0.9421084149365109,0.2495869221858941
2,94.0041760973937,101.30590534979424,177.6195396090535,5.469642549526271,0.9491388669703033,0.27069734951803265
2,94.0041760973937,101.30590534979424,177.6195396090535,5.469642549526271,0.9491388669703033,0.27069734951803265
2,95.02558213305899,104.01155521262002,174.49170867626887,5.234093884582256,0.9511487975783076,0.2695912882811241
2,95.02558213305899,104.01155521262002,174.49170867626887,5.234093884582256,0.9511487975783076,0.2695912882811241
2,89.59117969821673,122.98317729766804,182.47041666666667,6.75668647717485,0.9062209699346181,0.26384490909810915
2,92.32426697530865,112.80632030178326,175.543926611797,6.59987683031869,0.9483440240086229,0.2398115892963849
2,92.32426697530865,112.80632030178326,175.543926611797,6.59987683031869,0.9483440240086229,0.2398115892963849
2,93.59321673525378,112.45109910836763,178.95216306584362,6.169185185185185,0.9567723487957988,0.22603843099857612
2,87.6653926611797,106.63057270233196,185.1627880658436,8.840238587424633,0.8925072369525611,0.2617274825579056
