label,R,G,B,Contrast,Homogeneity,Energy
1,34.46408711581518,57.01123821154759,8.984718094850397,375.96242937082036,0.502013212492113,0.4418143076757635
1,19.749798662298662,37.80778278278278,4.636188461188461,245.95152619850288,0.5890245072428504,0.5430750539251725
1,34.19824004342221,56.737206051970965,8.713196281972996,371.13396615258637,0.5032929023521899,0.4431877741586599
1,31.07501251251251,50.035964373464374,17.218789243789242,317.3967247585853,0.5435428080484638,0.4750383303488062
1,40.1682090982229,70.11209693322839,11.260817817396813,454.80407520757274,0.37602721288625673,0.29648119165840076
1,34.39853022531775,63.963177100694054,5.47452501077637,283.67317172583176,0.40439418609662287,0.3312956136513012
1,32.387016036023574,64.21369650998255,6.385507576876274,375.3322758849076,0.32922080627044015,0.2552875442975117
1,31.563982406917603,63.321604611735324,5.620700097012429,326.2127559890718,0.3345166452124059,0.2606238993166881
1,32.917150614466586,57.02386133664369,6.91765051318599,261.85777609863385,0.38312221915391703,0.2865645662284259
1,24.463261826098872,54.83083007262374,5.727131895068589,294.29504392740466,0.4804176048587296,0.41843525200310183
1,24.50568403850936,54.8739018894353,5.757002278690438,300.91448730525434,0.4800902483937186,0.41817321726955936
1,28.507161220043574,46.82184095860566,3.5902636165577344,221.74589986320098,0.6007015774279002,0.5415792890363427
1,29.43766159987717,56.222829725165056,7.915042223245816,404.53830094649425,0.4278363536591859,0.35794054097881634
1,50.31114028027951,73.99005001341357,21.539854239323446,467.1832956443055,0.4369803959366814,0.34400050733311704
1,29.4204744357439,56.236867802855826,7.922693075387686,405.2830318717405,0.4277087213623914,0.35828177644088033
1,26.402910706565816,54.725549780845,4.792926137349755,270.3038761092281,0.49424978888875054,0.4360170081367713
1,26.334568742722446,54.655237157580174,4.747679860144715,262.7650515418111,0.49421878370965805,0.4353248600339109
1,41.1594595639745,69.5516757740806,18.1719724665574,572.6508564727561,0.4832961260914497,0.4058372682570286
1,40.340644549086335,68.65093716628046,17.214092148982814,577.5051678543009,0.48632879075596963,0.4098616532624036
1,18.766224521497172,37.93780206124296,3.316079315980711,171.03076703793442,0.6186452132129673,0.5703435242780839
1,18.79178069239393,37.99124714654276,3.3632866424432346,176.98886468068935,0.6173235604528028,0.5689073749832326
1,38.180280253498985,70.22682139691989,5.8360801297593765,355.8593017775384,0.426573483927141,0.35564927583798595
1,30.540982887107003,56.68875288801305,3.937849676089517,269.22817883020423,0.5036646977324658,0.37943749115408465
1,38.05471464642242,70.08090396802837,5.771865959901677,345.8232056288714,0.4271682857058682,0.355368850866553
1,48.93798304781615,72.58802169164143,20.122250220365615,452.78704172472715,0.44185084133476704,0.3505740906369743
1,36.44290456552894,56.92962767979878,3.543925301980053,213.97659474326733,0.49773623414630147,0.4246662041321352
