R,G,B,label
133.7567481138546,153.60671724965707,138.6078129286694,1
136.58908093278464,145.4077914951989,115.1403420781893,1
136.96899862825788,154.80966735253773,126.77809413580248,1
136.96899862825788,154.80966735253773,126.77809413580248,1
140.4038803155007,146.52720164609053,100.61210819615913,1
140.4038803155007,146.52720164609053,100.61210819615913,1
135.16697359396434,149.00575445816187,103.49047410836762,1
135.16697359396434,149.00575445816187,103.49047410836762,1
118.00633916323731,150.4483650548697,124.60765432098765,1
155.67831618655694,162.5073096707819,137.57960905349793,1
133.7567481138546,153.60671724965707,138.6078129286694,1
155.67831618655694,162.5073096707819,137.57960905349793,1
133.03424982853224,151.91840192043895,136.01622256515776,1
133.03424982853224,151.91840192043895,136.01622256515776,1
139.17842163923183,152.77866255144033,114.41071416323732,1
139.17842163923183,152.77866255144033,114.41071416323732,1
147.52611282578874,173.9935013717421,160.99702074759946,1
133.43022033607681,160.49870713305899,136.4837371399177,1
143.21784293552813,168.7777031893004,165.58894975994514,1
190.74411093964335,189.66446244855968,143.44475394375857,1
143.21784293552813,168.7777031893004,165.58894975994514,1
123.58508573388202,147.00716820987654,125.25875600137174,1
123.58508573388202,147.00716820987654,125.25875600137174,1
112.27573645404664,137.19945301783264,126.61133916323732,1
112.27573645404664,137.19945301783264,126.61133916323732,1
109.82693930041152,134.07560185185184,134.92271776406037,1
109.82693930041152,134.07560185185184,134.92271776406037,1
114.71578360768176,137.02264574759946,131.37329989711935,1
121.65673782578875,144.75116683813442,128.5629603909465,1
190.74411093964335,189.66446244855968,143.44475394375857,1
121.65673782578875,144.75116683813442,128.5629603909465,1
127.52847479423869,146.59502743484225,133.14008316186556,1
127.52847479423869,146.59502743484225,133.14008316186556,1
127.11261059670782,145.919045781893,130.79170267489712,1
127.11261059670782,145.919045781893,130.79170267489712,1
125.53857596021948,135.70049554183814,110.72418209876543,1
125.53857596021948,135.70049554183814,110.72418209876543,1
166.60612568587106,177.4070816186557,156.43686985596707,1
166.60612568587106,177.4070816186557,156.43686985596707,1
136.58908093278464,145.4077914951989,115.1403420781893,1
129.33227794924554,145.8304809670782,170.02961848422495,2
124.1437457133059,142.4264746227709,159.81890260631002,2
130.9792181069959,150.51937585733882,157.43042781207134,2
130.9792181069959,150.51937585733882,157.43042781207134,2
124.43055555555556,148.16654835390946,156.50527349108367,2
124.43055555555556,148.16654835390946,156.50527349108367,2
125.2066006515775,145.1448062414266,156.97712534293552,2
122.00500171467765,142.96590192043897,158.50312585733883,2
122.00500171467765,142.96590192043897,158.50312585733883,2
123.66905606995884,141.8757355967078,162.06393432784637,2
129.33227794924554,145.8304809670782,170.02961848422495,2
123.66905606995884,141.8757355967078,162.06393432784637,2
123.1371999314129,142.34005572702333,166.1682210219479,2
123.1371999314129,142.34005572702333,166.1682210219479,2
124.2189446159122,144.7669255829904,174.8861025377229,2
124.2189446159122,144.7669255829904,174.8861025377229,2
125.16557098765432,146.4565586419753,153.60424982853223,2
125.16557098765432,146.4565586419753,153.60424982853223,2
124.68314814814815,145.01723165294925,162.7249828532236,2
124.68314814814815,145.01723165294925,162.7249828532236,2
115.48944101508917,133.76600737311387,169.48482167352537,2
