R,G,B,label
124.80489197530864,146.73596450617285,123.37319444444445,1
130.9033410493827,141.53217206790123,100.53888310185185,1
124.80621720679012,146.73751736111112,123.36841820987654,1
130.90065200617283,141.53323881172838,100.53717206790124,1
115.98138310185185,136.0940374228395,106.54531442901235,1
115.98132330246914,136.09557291666667,106.54201581790123,1
123.44731095679012,141.5416512345679,85.88130208333334,1
123.4506037808642,141.5389525462963,85.88550540123457,1
126.0036612654321,155.43463541666668,128.19303433641974,1
110.6223861882716,143.56871720679013,88.99976851851852,1
108.50843942901234,136.25962962962964,85.79831597222223,1
103.55400077160493,119.41209490740741,71.66677083333333,1
172.49252700617285,172.2983101851852,96.8760223765432,1
108.50757908950617,136.26020254629628,85.80442708333334,1
108.7552700617284,134.0112538580247,89.73170910493828,1
108.76345486111111,134.00896412037036,89.72503858024692,1
81.03341049382716,110.61873070987654,70.51086033950617,1
81.03209683641975,110.6216512345679,70.50770833333333,1
75.68051890432099,103.29117091049383,80.14427662037038,1
75.6770775462963,103.29127314814815,80.15004050925926,1
92.4484837962963,113.08191936728394,79.58358024691358,1
89.70846064814815,118.74162229938271,81.14266396604938,1
117.06837962962963,139.69533179012345,92.34185956790124,1
172.48745563271606,172.3009587191358,96.87831211419753,1
89.70928240740741,118.74074266975309,81.14500578703704,1
96.48849922839506,119.87255208333333,81.79669560185185,1
96.48537808641976,119.8743576388889,81.79272955246914,1
96.56467206790123,120.7040162037037,86.46392939814815,1
96.55874035493827,120.70594328703703,86.46143711419754,1
94.90777199074074,111.48228395061729,70.59922453703703,1
94.90904513888889,111.4805999228395,70.60553240740741,1
142.10556327160495,156.29534722222223,114.82915895061728,1
142.10078896604938,156.2972164351852,114.82692901234567,1
117.07240162037037,139.6944849537037,92.34195987654321,1
103.55273533950617,119.41327546296296,71.67095679012345,1
121.02317708333334,130.05660493827162,66.82672067901234,1
121.0260725308642,130.05215470679013,66.83418788580246,1
119.40447337962964,137.61073302469137,74.2322125771605,1
119.39981481481482,137.6145910493827,74.23247106481482,1
102.85723572530864,137.43136574074074,86.5589525462963,1
118.26354938271605,107.40823688271605,114.83743441358024,2
95.06825617283951,108.18796103395061,78.99349922839507,2
118.26457947530864,107.40975115740741,114.8378163580247,2
95.0746913580247,108.18414930555555,78.99516782407407,2
96.10096450617284,110.28803240740741,96.81830439814814,2
96.10155671296296,110.28764274691358,96.82440200617285,2
106.32874035493828,112.18975308641976,96.44826774691359,2
106.33096643518519,112.18583719135802,96.45146797839506,2
98.13485146604938,120.9870524691358,90.05875,2
98.13284529320988,120.98847608024691,90.05868827160494,2
95.54908950617283,110.74226273148147,71.96699459876544,2
99.31642939814814,107.94854166666667,74.62959104938271,2
95.554324845679,110.73946952160493,71.96766782407407,2
97.32983024691357,85.68300154320988,87.47777777777777,2
90.49435570987654,91.10426890432099,82.95275655864198,2
130.4270061728395,138.86243055555556,103.99903549382717,2
130.4307986111111,138.8610609567901,104.00204668209877,2
118.77524112654321,107.60189043209877,97.8357600308642,2
118.77435570987655,107.60053819444444,97.84362654320988,2
98.33242283950618,107.10321566358024,85.3726311728395,2
98.32868055555555,107.1058236882716,85.36999421296296,2
126.82878279320988,116.43665895061729,96.7254436728395,2
99.92965277777778,123.88126543209877,76.9942399691358,2
93.04452546296297,113.88042438271604,86.0124324845679,2
93.05397183641975,113.87412037037036,86.01654320987655,2
85.93107060185186,103.01100694444445,79.65903163580246,2
85.92729359567902,103.01295717592592,79.65915316358024,2
106.16124421296297,101.62222029320988,102.17548032407407,2
106.16198881172839,101.62172067901234,102.16586033950617,2
86.86762538580247,108.43562307098766,77.17735918209877,2
86.86776813271605,108.43491705246913,77.17793788580246,2
89.73804398148148,104.22753086419753,101.66906828703704,2
89.74312692901235,104.22322145061729,101.67153356481481,2
99.92558063271605,123.88249228395061,76.99396026234568,2
99.32026813271605,107.9474363425926,74.63263695987655,2
90.87503665123457,120.72814621913581,75.41578896604938,2
90.87536651234568,120.7261400462963,75.41973958333334,2
111.21097608024691,124.47265625,84.48781828703704,2
96.68059220679012,114.01883680555555,91.74089699074074,2
96.68113618827161,114.01866705246914,91.74202739197531,2
115.41750192901235,142.83846643518518,101.10894483024691,3
109.60122685185185,134.24682484567901,104.10392939814815,3
115.4187287808642,142.83675540123457,101.11256558641975,3
109.5976523919753,134.24755015432098,104.10638310185185,3
95.42766975308642,128.51526234567902,73.89561342592593,3
95.42681134259259,128.5159413580247,73.8945486111111,3
80.1581674382716,114.8697337962963,60.72563657407407,3
