label,R,G,B,dissimilarity,correlation,homogeneity
1,133.7567481138546,153.60671724965707,138.6078129286694,6.645714039621017,0.9484161243346109,0.4069243590431516
1,136.58908093278464,145.4077914951989,115.1403420781893,5.728038759689922,0.9729961766539408,0.3665713403909035
1,136.96899862825788,154.80966735253773,126.77809413580248,7.174788975021532,0.9460038374635332,0.3429982115872238
1,136.96899862825788,154.80966735253773,126.77809413580248,7.174788975021532,0.9460038374635332,0.3429982115872238
1,140.4038803155007,146.52720164609053,100.61210819615913,6.481287683031869,0.9490744186824345,0.3731012732999075
1,140.4038803155007,146.52720164609053,100.61210819615913,6.481287683031869,0.9490744186824345,0.3731012732999075
1,135.16697359396434,149.00575445816187,103.49047410836762,6.378870801033593,0.9533375935144636,0.3459690227173528
1,135.16697359396434,149.00575445816187,103.49047410836762,6.378870801033593,0.9533375935144636,0.3459690227173528
1,118.00633916323731,150.4483650548697,124.60765432098765,8.148524547803614,0.9449623715058291,0.3548608365550491
1,155.67831618655694,162.5073096707819,137.57960905349793,5.5686451335055995,0.9701094790047641,0.4145344648126019
1,133.7567481138546,153.60671724965707,138.6078129286694,6.645714039621017,0.9484161243346109,0.4069243590431516
1,155.67831618655694,162.5073096707819,137.57960905349793,5.5686451335055995,0.9701094790047641,0.4145344648126019
1,133.03424982853224,151.91840192043895,136.01622256515776,6.406770887166236,0.9606003919615043,0.3753388152543983
1,133.03424982853224,151.91840192043895,136.01622256515776,6.406770887166236,0.9606003919615043,0.3753388152543983
1,139.17842163923183,152.77866255144033,114.41071416323732,5.103072351421188,0.9661303359678421,0.4244373491398228
1,139.17842163923183,152.77866255144033,114.41071416323732,5.103072351421188,0.9661303359678421,0.4244373491398228
1,147.52611282578874,173.9935013717421,160.99702074759946,5.897031007751939,0.9755400786343433,0.42678804860206154
1,133.43022033607681,160.49870713305899,136.4837371399177,6.485144702842377,0.954182739756117,0.38151654071753754
1,143.21784293552813,168.7777031893004,165.58894975994514,6.800378122308355,0.9403683496933852,0.46049345923335716
1,190.74411093964335,189.66446244855968,143.44475394375857,9.103770887166235,0.9026715712108239,0.3441827946117862
1,143.21784293552813,168.7777031893004,165.58894975994514,6.800378122308355,0.9403683496933852,0.46049345923335716
1,123.58508573388202,147.00716820987654,125.25875600137174,6.640565030146425,0.9520201536354037,0.2648439311909279
1,123.58508573388202,147.00716820987654,125.25875600137174,6.640565030146425,0.9520201536354037,0.2648439311909279
1,112.27573645404664,137.19945301783264,126.61133916323732,7.137577950043065,0.9577131338386653,0.24807775054397663
1,112.27573645404664,137.19945301783264,126.61133916323732,7.137577950043065,0.9577131338386653,0.24807775054397663
1,109.82693930041152,134.07560185185184,134.92271776406037,6.541076658053402,0.9686293445750731,0.28009927189971956
1,109.82693930041152,134.07560185185184,134.92271776406037,6.541076658053402,0.9686293445750731,0.28009927189971956
1,114.71578360768176,137.02264574759946,131.37329989711935,7.018613264427219,0.9570206005628107,0.2552852277310722
1,121.65673782578875,144.75116683813442,128.5629603909465,5.960783807062878,0.966746417899042,0.30012209448458527
1,190.74411093964335,189.66446244855968,143.44475394375857,9.103770887166235,0.9026715712108239,0.3441827946117862
1,121.65673782578875,144.75116683813442,128.5629603909465,5.960783807062878,0.966746417899042,0.30012209448458527
1,127.52847479423869,146.59502743484225,133.14008316186556,6.85095521102498,0.956246167941076,0.2740796567427499
1,127.52847479423869,146.59502743484225,133.14008316186556,6.85095521102498,0.956246167941076,0.2740796567427499
1,127.11261059670782,145.919045781893,130.79170267489712,7.287608096468563,0.9539474966943187,0.2361517398009802
1,127.11261059670782,145.919045781893,130.79170267489712,7.287608096468563,0.9539474966943187,0.2361517398009802
1,125.53857596021948,135.70049554183814,110.72418209876543,5.577739018087854,0.9651306035911664,0.3604364833907013
1,125.53857596021948,135.70049554183814,110.72418209876543,5.577739018087854,0.9651306035911664,0.3604364833907013
1,166.60612568587106,177.4070816186557,156.43686985596707,8.13826270456503,0.9419759644918282,0.33134667855594346
1,166.60612568587106,177.4070816186557,156.43686985596707,8.13826270456503,0.9419759644918282,0.33134667855594346
1,136.58908093278464,145.4077914951989,115.1403420781893,5.728038759689922,0.9729961766539408,0.3665713403909035
2,129.33227794924554,145.8304809670782,170.02961848422495,8.840238587424633,0.8925072369525611,0.2617274825579056
2,124.1437457133059,142.4264746227709,159.81890260631002,6.388407407407407,0.9421084149365109,0.2495869221858941
2,130.9792181069959,150.51937585733882,157.43042781207134,5.469642549526271,0.9491388669703033,0.27069734951803265
2,130.9792181069959,150.51937585733882,157.43042781207134,5.469642549526271,0.9491388669703033,0.27069734951803265
2,124.43055555555556,148.16654835390946,156.50527349108367,5.234093884582256,0.9511487975783076,0.2695912882811241
